i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,0.726412439,1.62782408e-05,1.39403306e-07,2.30104359e-06,4.99094906e-06,1.62335333e-05,729117990000.0,1e-06,3e-06,tt
1e-05,1.2375,1.65,0.464121628,2.13626426e-05,1.39403306e-07,2.30104359e-06,9.89411067e-06,2.06449068e-05,573321124000.0,1e-06,3e-06,tt
1.5e-05,1.2375,1.65,0.247796882,2.44279919e-05,1.39403306e-07,2.30104359e-06,1.44749754e-05,2.10959034e-05,561064436000.0,1e-06,3e-06,tt
2e-05,1.2375,1.65,0.0534513798,2.65126467e-05,1.39403306e-07,2.30104359e-06,1.83795165e-05,1.8792741e-05,629826226000.0,1e-06,3e-06,tt
2.5e-05,1.2375,1.65,-0.127985531,2.80154902e-05,1.39403306e-07,2.30104359e-06,2.15282265e-05,1.59169689e-05,743619043000.0,1e-06,3e-06,tt
3e-05,1.2375,1.65,-0.300887313,2.9134244e-05,1.39403306e-07,2.30104359e-06,2.4060569e-05,1.34443717e-05,880380385000.0,1e-06,3e-06,tt
5e-06,0.825,1.65,0.726412419,1.62782413e-05,3.53298619e-06,1.4021138e-05,4.99094939e-06,1.62335337e-05,28769276200.0,1e-06,3e-06,tt
1e-05,0.825,1.65,0.464121628,2.13626426e-05,3.53298619e-06,1.4021138e-05,9.89411067e-06,2.06449068e-05,22621900000.0,1e-06,3e-06,tt
1.5e-05,0.825,1.65,0.247796882,2.44279919e-05,3.53298619e-06,1.4021138e-05,1.44749754e-05,2.10959034e-05,22138280000.0,1e-06,3e-06,tt
2e-05,0.825,1.65,0.0534513798,2.65126467e-05,3.53298619e-06,1.4021138e-05,1.83795165e-05,1.8792741e-05,24851458100.0,1e-06,3e-06,tt
2.5e-05,0.825,1.65,-0.127985531,2.80154902e-05,3.53298619e-06,1.4021138e-05,2.15282265e-05,1.59169689e-05,29341454400.0,1e-06,3e-06,tt
3e-05,0.825,1.65,-0.300887313,2.9134244e-05,3.53298619e-06,1.4021138e-05,2.4060569e-05,1.34443717e-05,34737734500.0,1e-06,3e-06,tt
