i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,0.969603878,2.88750641e-05,3.73959769e-07,6.44149392e-06,5.03265013e-06,2.90510303e-05,151878927000.0,1e-06,1e-06,tt
1e-05,1.2375,1.65,0.826338618,4.04487931e-05,3.73959769e-07,6.44149392e-06,1.00305967e-05,4.04512427e-05,109075495000.0,1e-06,1e-06,tt
1.5e-05,1.2375,1.65,0.715576912,4.83010238e-05,3.73959769e-07,6.44149392e-06,1.49404377e-05,4.79973265e-05,91926772700.0,1e-06,1e-06,tt
2e-05,1.2375,1.65,0.619343467,5.43187287e-05,3.73959769e-07,6.44149392e-06,1.98307835e-05,5.34496667e-05,82549426400.0,1e-06,1e-06,tt
2.5e-05,1.2375,1.65,0.532311644,5.91511361e-05,3.73959769e-07,6.44149392e-06,2.46587618e-05,5.73109663e-05,76987697200.0,1e-06,1e-06,tt
3e-05,1.2375,1.65,0.451610734,6.31546822e-05,3.73959769e-07,6.44149392e-06,2.93918442e-05,5.97978506e-05,73785918400.0,1e-06,1e-06,tt
5e-06,0.825,1.65,0.969603661,2.88750827e-05,1.02745719e-05,4.12493072e-05,5.03265644e-06,2.90510488e-05,5527877270.0,1e-06,1e-06,tt
1e-05,0.825,1.65,0.826338623,4.04487927e-05,1.02745719e-05,4.12493072e-05,1.00305964e-05,4.04512423e-05,3969980230.0,1e-06,1e-06,tt
1.5e-05,0.825,1.65,0.715576912,4.83010238e-05,1.02745719e-05,4.12493072e-05,1.49404377e-05,4.79973265e-05,3345824530.0,1e-06,1e-06,tt
2e-05,0.825,1.65,0.619343467,5.43187287e-05,1.02745719e-05,4.12493072e-05,1.98307835e-05,5.34496667e-05,3004520740.0,1e-06,1e-06,tt
2.5e-05,0.825,1.65,0.532311644,5.91511361e-05,1.02745719e-05,4.12493072e-05,2.46587618e-05,5.73109663e-05,2802092560.0,1e-06,1e-06,tt
3e-05,0.825,1.65,0.451610734,6.31546822e-05,1.02745719e-05,4.12493072e-05,2.93918442e-05,5.97978506e-05,2685558600.0,1e-06,1e-06,tt
5e-06,0.4125,1.65,0.969603661,2.88750827e-05,3.27862151e-05,6.57496913e-05,5.03265644e-06,2.90510488e-05,1732330870.0,1e-06,1e-06,tt
1e-05,0.4125,1.65,0.826338623,4.04487927e-05,3.27862151e-05,6.57496913e-05,1.00305964e-05,4.04512423e-05,1244115770.0,1e-06,1e-06,tt
1.5e-05,0.4125,1.65,0.715576912,4.83010238e-05,3.27862151e-05,6.57496913e-05,1.49404377e-05,4.79973265e-05,1048517330.0,1e-06,1e-06,tt
2e-05,0.4125,1.65,0.619343467,5.43187287e-05,3.27862151e-05,6.57496913e-05,1.98307835e-05,5.34496667e-05,941559261.0,1e-06,1e-06,tt
2.5e-05,0.4125,1.65,0.532311644,5.91511361e-05,3.27862151e-05,6.57496913e-05,2.46587618e-05,5.73109663e-05,878122145.0,1e-06,1e-06,tt
3e-05,0.4125,1.65,0.451610734,6.31546822e-05,3.27862151e-05,6.57496913e-05,2.93918442e-05,5.97978506e-05,841602636.0,1e-06,1e-06,tt
5e-06,0.0,1.65,0.969603661,2.88750827e-05,6.29684354e-05,7.88870177e-05,5.03265644e-06,2.90510488e-05,901984815.0,1e-06,1e-06,tt
1e-05,0.0,1.65,0.826338623,4.04487927e-05,6.29684354e-05,7.88870177e-05,1.00305964e-05,4.04512423e-05,647782450.0,1e-06,1e-06,tt
1.5e-05,0.0,1.65,0.715576912,4.83010238e-05,6.29684354e-05,7.88870177e-05,1.49404377e-05,4.79973265e-05,545938842.0,1e-06,1e-06,tt
2e-05,0.0,1.65,0.619343467,5.43187287e-05,6.29684354e-05,7.88870177e-05,1.98307835e-05,5.34496667e-05,490248237.0,1e-06,1e-06,tt
2.5e-05,0.0,1.65,0.532311644,5.91511361e-05,6.29684354e-05,7.88870177e-05,2.46587618e-05,5.73109663e-05,457217990.0,1e-06,1e-06,tt
3e-05,0.0,1.65,0.451610734,6.31546822e-05,6.29684354e-05,7.88870177e-05,2.93918442e-05,5.97978506e-05,438203123.0,1e-06,1e-06,tt
5e-06,1.1875,1.6,0.969603878,2.88750641e-05,3.18000109e-07,5.77024616e-06,5.03265013e-06,2.90510303e-05,173193335000.0,1e-06,1e-06,tt
1e-05,1.1875,1.6,0.826338618,4.04487931e-05,3.18000109e-07,5.77024616e-06,1.00305967e-05,4.04512427e-05,124382948000.0,1e-06,1e-06,tt
