i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,0.726869051,1.81446093e-05,6.44526471e-08,1.40415743e-06,4.9905583e-06,1.81017555e-05,1414237960000.0,1e-06,2.5e-06,ss
1e-05,1.2375,1.65,0.494519042,2.44360923e-05,6.44526471e-08,1.40415743e-06,9.92122116e-06,2.39700437e-05,1068007640000.0,1e-06,2.5e-06,ss
1.5e-05,1.2375,1.65,0.307148519,2.85180267e-05,6.44526471e-08,1.40415743e-06,1.46892184e-05,2.64747845e-05,966964992000.0,1e-06,2.5e-06,ss
2e-05,1.2375,1.65,0.141931736,3.14968616e-05,6.44526471e-08,1.40415743e-06,1.90698497e-05,2.61453521e-05,979148788000.0,1e-06,2.5e-06,ss
2.5e-05,1.2375,1.65,-0.00988654612,3.38055439e-05,6.44526471e-08,1.40415743e-06,2.29000761e-05,2.41307659e-05,1060894210000.0,1e-06,2.5e-06,ss
3e-05,1.2375,1.65,-0.152512278,3.56596852e-05,6.44526471e-08,1.40415743e-06,2.61698997e-05,2.16986035e-05,1179808180000.0,1e-06,2.5e-06,ss
5e-06,0.825,1.65,0.726868974,1.81446117e-05,3.39540243e-06,1.51800125e-05,4.9905597e-06,1.81017578e-05,26845527300.0,1e-06,2.5e-06,ss
1e-05,0.825,1.65,0.494519042,2.44360923e-05,3.39540243e-06,1.51800125e-05,9.92122116e-06,2.39700437e-05,20273272700.0,1e-06,2.5e-06,ss
1.5e-05,0.825,1.65,0.307148519,2.85180267e-05,3.39540243e-06,1.51800125e-05,1.46892184e-05,2.64747845e-05,18355247900.0,1e-06,2.5e-06,ss
2e-05,0.825,1.65,0.141931736,3.14968616e-05,3.39540243e-06,1.51800125e-05,1.90698497e-05,2.61453521e-05,18586524800.0,1e-06,2.5e-06,ss
2.5e-05,0.825,1.65,-0.00988654612,3.38055439e-05,3.39540243e-06,1.51800125e-05,2.29000761e-05,2.41307659e-05,20138243200.0,1e-06,2.5e-06,ss
3e-05,0.825,1.65,-0.152512278,3.56596852e-05,3.39540243e-06,1.51800125e-05,2.61698997e-05,2.16986035e-05,22395507400.0,1e-06,2.5e-06,ss
5e-06,0.4125,1.65,0.726868974,1.81446117e-05,1.21382564e-05,2.64575205e-05,4.9905597e-06,1.81017578e-05,7509428520.0,1e-06,2.5e-06,ss
1e-05,0.4125,1.65,0.494519042,2.44360923e-05,1.21382564e-05,2.64575205e-05,9.92122116e-06,2.39700437e-05,5670989100.0,1e-06,2.5e-06,ss
1.5e-05,0.4125,1.65,0.307148519,2.85180267e-05,1.21382564e-05,2.64575205e-05,1.46892184e-05,2.64747845e-05,5134465080.0,1e-06,2.5e-06,ss
2e-05,0.4125,1.65,0.141931736,3.14968616e-05,1.21382564e-05,2.64575205e-05,1.90698497e-05,2.61453521e-05,5199159540.0,1e-06,2.5e-06,ss
2.5e-05,0.4125,1.65,-0.00988654612,3.38055439e-05,1.21382564e-05,2.64575205e-05,2.29000761e-05,2.41307659e-05,5633217650.0,1e-06,2.5e-06,ss
3e-05,0.4125,1.65,-0.152512278,3.56596852e-05,1.21382564e-05,2.64575205e-05,2.61698997e-05,2.16986035e-05,6264636190.0,1e-06,2.5e-06,ss
5e-06,0.0,1.65,0.726868974,1.81446117e-05,2.46638185e-05,3.36663248e-05,4.9905597e-06,1.81017578e-05,3695752480.0,1e-06,2.5e-06,ss
1e-05,0.0,1.65,0.494519042,2.44360923e-05,2.46638185e-05,3.36663248e-05,9.92122116e-06,2.39700437e-05,2790967650.0,1e-06,2.5e-06,ss
1.5e-05,0.0,1.65,0.307148519,2.85180267e-05,2.46638185e-05,3.36663248e-05,1.46892184e-05,2.64747845e-05,2526918260.0,1e-06,2.5e-06,ss
2e-05,0.0,1.65,0.141931736,3.14968616e-05,2.46638185e-05,3.36663248e-05,1.90698497e-05,2.61453521e-05,2558757530.0,1e-06,2.5e-06,ss
2.5e-05,0.0,1.65,-0.00988654612,3.38055439e-05,2.46638185e-05,3.36663248e-05,2.29000761e-05,2.41307659e-05,2772378490.0,1e-06,2.5e-06,ss
3e-05,0.0,1.65,-0.152512278,3.56596852e-05,2.46638185e-05,3.36663248e-05,2.61698997e-05,2.16986035e-05,3083130050.0,1e-06,2.5e-06,ss
5e-06,1.1875,1.6,0.726869051,1.81446093e-05,5.25785603e-08,1.20510676e-06,4.9905583e-06,1.81017555e-05,1681088580000.0,1e-06,2.5e-06,ss
1e-05,1.1875,1.6,0.494519042,2.44360923e-05,5.25785603e-08,1.20510676e-06,9.92122116e-06,2.39700437e-05,1269528530000.0,1e-06,2.5e-06,ss
1.5e-05,1.1875,1.6,0.307148519,2.85180267e-05,5.25785603e-08,1.20510676e-06,1.46892184e-05,2.64747845e-05,1149420290000.0,1e-06,2.5e-06,ss
2e-05,1.1875,1.6,0.141931736,3.14968616e-05,5.25785603e-08,1.20510676e-06,1.90698497e-05,2.61453521e-05,1163903030000.0,1e-06,2.5e-06,ss
2.5e-05,1.1875,1.6,-0.00988654612,3.38055439e-05,5.25785603e-08,1.20510676e-06,2.29000761e-05,2.41307659e-05,1261072880000.0,1e-06,2.5e-06,ss
3e-05,1.1875,1.6,-0.152512278,3.56596852e-05,5.25785603e-08,1.20510676e-06,2.61698997e-05,2.16986035e-05,1402424560000.0,1e-06,2.5e-06,ss
5e-06,0.775,1.6,0.726868974,1.81446117e-05,3.24543863e-06,1.480948e-05,4.9905597e-06,1.81017578e-05,27234902900.0,1e-06,2.5e-06,ss
1e-05,0.775,1.6,0.494519042,2.44360923e-05,3.24543863e-06,1.480948e-05,9.92122116e-06,2.39700437e-05,20567322400.0,1e-06,2.5e-06,ss
1.5e-05,0.775,1.6,0.307148519,2.85180267e-05,3.24543863e-06,1.480948e-05,1.46892184e-05,2.64747845e-05,18621478000.0,1e-06,2.5e-06,ss
2e-05,0.775,1.6,0.141931736,3.14968616e-05,3.24543863e-06,1.480948e-05,1.90698497e-05,2.61453521e-05,18856109300.0,1e-06,2.5e-06,ss
2.5e-05,0.775,1.6,-0.00988654612,3.38055439e-05,3.24543863e-06,1.480948e-05,2.29000761e-05,2.41307659e-05,20430334400.0,1e-06,2.5e-06,ss
3e-05,0.775,1.6,-0.152512278,3.56596852e-05,3.24543863e-06,1.480948e-05,2.61698997e-05,2.16986035e-05,22720338600.0,1e-06,2.5e-06,ss
5e-06,0.3625,1.6,0.726868974,1.81446117e-05,1.18486678e-05,2.61601932e-05,4.9905597e-06,1.81017578e-05,7459843380.0,1e-06,2.5e-06,ss
1e-05,0.3625,1.6,0.494519042,2.44360923e-05,1.18486678e-05,2.61601932e-05,9.92122116e-06,2.39700437e-05,5633543270.0,1e-06,2.5e-06,ss
1.5e-05,0.3625,1.6,0.307148519,2.85180267e-05,1.18486678e-05,2.61601932e-05,1.46892184e-05,2.64747845e-05,5100561940.0,1e-06,2.5e-06,ss
2e-05,0.3625,1.6,0.141931736,3.14968616e-05,1.18486678e-05,2.61601932e-05,1.90698497e-05,2.61453521e-05,5164829220.0,1e-06,2.5e-06,ss
2.5e-05,0.3625,1.6,-0.00988654612,3.38055439e-05,1.18486678e-05,2.61601932e-05,2.29000761e-05,2.41307659e-05,5596021230.0,1e-06,2.5e-06,ss
3e-05,0.3625,1.6,-0.152512278,3.56596852e-05,1.18486678e-05,2.61601932e-05,2.61698997e-05,2.16986035e-05,6223270480.0,1e-06,2.5e-06,ss
5e-06,-0.05,1.6,0.726868974,1.81446117e-05,2.42665746e-05,3.34265711e-05,4.9905597e-06,1.81017578e-05,3642426150.0,1e-06,2.5e-06,ss
1e-05,-0.05,1.6,0.494519042,2.44360923e-05,2.42665746e-05,3.34265711e-05,9.92122116e-06,2.39700437e-05,2750696530.0,1e-06,2.5e-06,ss
1.5e-05,-0.05,1.6,0.307148519,2.85180267e-05,2.42665746e-05,3.34265711e-05,1.46892184e-05,2.64747845e-05,2490457140.0,1e-06,2.5e-06,ss
2e-05,-0.05,1.6,0.141931736,3.14968616e-05,2.42665746e-05,3.34265711e-05,1.90698497e-05,2.61453521e-05,2521837000.0,1e-06,2.5e-06,ss
2.5e-05,-0.05,1.6,-0.00988654612,3.38055439e-05,2.42665746e-05,3.34265711e-05,2.29000761e-05,2.41307659e-05,2732375610.0,1e-06,2.5e-06,ss
3e-05,-0.05,1.6,-0.152512278,3.56596852e-05,2.42665746e-05,3.34265711e-05,2.61698997e-05,2.16986035e-05,3038643300.0,1e-06,2.5e-06,ss
5e-06,0.825,1.2375,0.726806641,1.81464957e-05,1.05499038e-08,3.15883514e-07,4.9916881e-06,1.81036041e-05,6479353340000.0,1e-06,2.5e-06,ss
1e-05,0.825,1.2375,0.494519043,2.44360922e-05,1.05499038e-08,3.15883514e-07,9.92122114e-06,2.39700437e-05,4893593420000.0,1e-06,2.5e-06,ss
1.5e-05,0.825,1.2375,0.307148519,2.85180267e-05,1.05499038e-08,3.15883514e-07,1.46892184e-05,2.64747845e-05,4430617660000.0,1e-06,2.5e-06,ss
2e-05,0.825,1.2375,0.141931736,3.14968616e-05,1.05499038e-08,3.15883514e-07,1.90698497e-05,2.61453521e-05,4486443620000.0,1e-06,2.5e-06,ss
2.5e-05,0.825,1.2375,-0.00988654612,3.38055439e-05,1.05499038e-08,3.15883514e-07,2.29000761e-05,2.41307659e-05,4860999790000.0,1e-06,2.5e-06,ss
3e-05,0.825,1.2375,-0.152512278,3.56596852e-05,1.05499038e-08,3.15883514e-07,2.61698997e-05,2.16986035e-05,5405861630000.0,1e-06,2.5e-06,ss
5e-06,0.4125,1.2375,0.726868974,1.81446117e-05,2.35008387e-06,1.23732673e-05,4.9905597e-06,1.81017578e-05,29089824100.0,1e-06,2.5e-06,ss
