i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,0.778633203,1.80323329e-05,1.65849712e-07,2.7493805e-06,4.99521844e-06,1.80099654e-05,552403399000.0,1e-06,2.5e-06,tt
1e-05,1.2375,1.65,0.54342615,2.39538706e-05,1.65849712e-07,2.7493805e-06,9.92638086e-06,2.35010186e-05,423333402000.0,1e-06,2.5e-06,tt
1.5e-05,1.2375,1.65,0.351382558,2.76285846e-05,1.65849712e-07,2.7493805e-06,1.46779781e-05,2.54888422e-05,390318479000.0,1e-06,2.5e-06,tt
2e-05,1.2375,1.65,0.18017043,3.01946729e-05,1.65849712e-07,2.7493805e-06,1.89946753e-05,2.45087797e-05,405926622000.0,1e-06,2.5e-06,tt
2.5e-05,1.2375,1.65,0.0213090851,3.20945124e-05,1.65849712e-07,2.7493805e-06,2.26939992e-05,2.19060786e-05,454155502000.0,1e-06,2.5e-06,tt
3e-05,1.2375,1.65,-0.129280741,3.35486707e-05,1.65849712e-07,2.7493805e-06,2.57787699e-05,1.90718864e-05,521645627000.0,1e-06,2.5e-06,tt
5e-06,0.825,1.65,0.778633167,1.80323339e-05,4.23240722e-06,1.68082113e-05,4.99521908e-06,1.80099664e-05,21646296000.0,1e-06,2.5e-06,tt
1e-05,0.825,1.65,0.54342615,2.39538706e-05,4.23240722e-06,1.68082113e-05,9.92638086e-06,2.35010186e-05,16588602900.0,1e-06,2.5e-06,tt
1.5e-05,0.825,1.65,0.351382558,2.76285846e-05,4.23240722e-06,1.68082113e-05,1.46779781e-05,2.54888422e-05,15294891100.0,1e-06,2.5e-06,tt
2e-05,0.825,1.65,0.18017043,3.01946729e-05,4.23240722e-06,1.68082113e-05,1.89946753e-05,2.45087797e-05,15906506600.0,1e-06,2.5e-06,tt
2.5e-05,0.825,1.65,0.0213090851,3.20945124e-05,4.23240722e-06,1.68082113e-05,2.26939992e-05,2.19060786e-05,17796387600.0,1e-06,2.5e-06,tt
3e-05,0.825,1.65,-0.129280741,3.35486707e-05,4.23240722e-06,1.68082113e-05,2.57787699e-05,1.90718864e-05,20441033300.0,1e-06,2.5e-06,tt
5e-06,0.4125,1.65,0.778633167,1.80323339e-05,1.33851548e-05,2.67286689e-05,4.99521908e-06,1.80099664e-05,6844593220.0,1e-06,2.5e-06,tt
1e-05,0.4125,1.65,0.543426149,2.39538706e-05,1.33851548e-05,2.67286689e-05,9.92638086e-06,2.35010186e-05,5245342610.0,1e-06,2.5e-06,tt
1.5e-05,0.4125,1.65,0.351382558,2.76285846e-05,1.33851548e-05,2.67286689e-05,1.46779781e-05,2.54888422e-05,4836268860.0,1e-06,2.5e-06,tt
2e-05,0.4125,1.65,0.18017043,3.01946729e-05,1.33851548e-05,2.67286689e-05,1.89946753e-05,2.45087797e-05,5029662670.0,1e-06,2.5e-06,tt
2.5e-05,0.4125,1.65,0.0213090851,3.20945124e-05,1.33851548e-05,2.67286689e-05,2.26939992e-05,2.19060786e-05,5627246030.0,1e-06,2.5e-06,tt
3e-05,0.4125,1.65,-0.129280741,3.35486707e-05,1.33851548e-05,2.67286689e-05,2.57787699e-05,1.90718864e-05,6463487230.0,1e-06,2.5e-06,tt
5e-06,0.0,1.65,0.778633167,1.80323339e-05,2.5692912e-05,3.23191759e-05,4.99521908e-06,1.80099664e-05,3565806000.0,1e-06,2.5e-06,tt
