i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,1.2375,1.65,1.02508227,2.9164696e-05,8.27802236e-07,1.08085947e-05,5.04827539e-06,2.94330741e-05,67720744700.0,1e-06,1e-06,ff
1e-05,1.2375,1.65,0.883190747,4.06936619e-05,8.27802236e-07,1.08085947e-05,1.00532313e-05,4.08116137e-05,48839766800.0,1e-06,1e-06,ff
1.5e-05,1.2375,1.65,0.77302075,4.84044752e-05,8.27802236e-07,1.08085947e-05,1.49713413e-05,4.82444493e-05,41315213000.0,1e-06,1e-06,ff
2e-05,1.2375,1.65,0.676959688,5.42243416e-05,8.27802236e-07,1.08085947e-05,1.98693661e-05,5.35317766e-05,37234514200.0,1e-06,1e-06,ff
2.5e-05,1.2375,1.65,0.589768945,5.88250453e-05,8.27802236e-07,1.08085947e-05,2.47050726e-05,5.71935619e-05,34850595600.0,1e-06,1e-06,ff
3e-05,1.2375,1.65,0.508635219,6.25746139e-05,8.27802236e-07,1.08085947e-05,2.94450114e-05,5.94490492e-05,33528369700.0,1e-06,1e-06,ff
5e-06,0.825,1.65,1.02508209,2.91647109e-05,1.27837813e-05,4.57493684e-05,5.04828045e-06,2.9433089e-05,4385193580.0,1e-06,1e-06,ff
1e-05,0.825,1.65,0.883190751,4.06936616e-05,1.27837813e-05,4.57493684e-05,1.00532311e-05,4.08116134e-05,3162575110.0,1e-06,1e-06,ff
1.5e-05,0.825,1.65,0.77302075,4.84044752e-05,1.27837813e-05,4.57493684e-05,1.49713413e-05,4.82444493e-05,2675329380.0,1e-06,1e-06,ff
2e-05,0.825,1.65,0.676959688,5.42243416e-05,1.27837813e-05,4.57493684e-05,1.98693661e-05,5.35317766e-05,2411087410.0,1e-06,1e-06,ff
2.5e-05,0.825,1.65,0.589768945,5.88250453e-05,1.27837813e-05,4.57493684e-05,2.47050726e-05,5.71935619e-05,2256718910.0,1e-06,1e-06,ff
3e-05,0.825,1.65,0.508635219,6.25746139e-05,1.27837813e-05,4.57493684e-05,2.94450114e-05,5.94490492e-05,2171099360.0,1e-06,1e-06,ff
5e-06,0.4125,1.65,1.02508209,2.91647109e-05,3.66039292e-05,6.7458402e-05,5.04828045e-06,2.9433089e-05,1531511970.0,1e-06,1e-06,ff
1e-05,0.4125,1.65,0.883190751,4.06936616e-05,3.66039292e-05,6.7458402e-05,1.00532311e-05,4.08116134e-05,1104517170.0,1e-06,1e-06,ff
1.5e-05,0.4125,1.65,0.77302075,4.84044752e-05,3.66039292e-05,6.7458402e-05,1.49713413e-05,4.82444493e-05,934348481.0,1e-06,1e-06,ff
2e-05,0.4125,1.65,0.676959688,5.42243416e-05,3.66039292e-05,6.7458402e-05,1.98693661e-05,5.35317766e-05,842062991.0,1e-06,1e-06,ff
2.5e-05,0.4125,1.65,0.589768945,5.88250453e-05,3.66039292e-05,6.7458402e-05,2.47050726e-05,5.71935619e-05,788150387.0,1e-06,1e-06,ff
3e-05,0.4125,1.65,0.508635219,6.25746139e-05,3.66039292e-05,6.7458402e-05,2.94450114e-05,5.94490492e-05,758248088.0,1e-06,1e-06,ff
5e-06,0.0,1.65,1.02508209,2.91647109e-05,6.68304713e-05,7.73365907e-05,5.04828045e-06,2.9433089e-05,838829272.0,1e-06,1e-06,ff
1e-05,0.0,1.65,0.883190751,4.06936616e-05,6.68304713e-05,7.73365907e-05,1.00532311e-05,4.08116134e-05,604958602.0,1e-06,1e-06,ff
1.5e-05,0.0,1.65,0.77302075,4.84044752e-05,6.68304713e-05,7.73365907e-05,1.49713413e-05,4.82444493e-05,511754968.0,1e-06,1e-06,ff
2e-05,0.0,1.65,0.676959688,5.42243416e-05,6.68304713e-05,7.73365907e-05,1.98693661e-05,5.35317766e-05,461208989.0,1e-06,1e-06,ff
2.5e-05,0.0,1.65,0.589768945,5.88250453e-05,6.68304713e-05,7.73365907e-05,2.47050726e-05,5.71935619e-05,431680346.0,1e-06,1e-06,ff
3e-05,0.0,1.65,0.508635219,6.25746139e-05,6.68304713e-05,7.73365907e-05,2.94450114e-05,5.94490492e-05,415302463.0,1e-06,1e-06,ff
