 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  4.58174876e-01  6.69313820e-05  4.30555661e-06  6.20129185e-05  6.01855235e-06  7.54327524e-05  5.08036231e+09  1.00000000e-06  4.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  5.14503749e-01  1.03672885e-04  4.30555661e-06  6.20129185e-05  1.12721914e-05  1.11761111e-04  3.42897194e+09  1.00000000e-06  4.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  5.55249930e-01  1.32226922e-04  4.30555661e-06  6.20129185e-05  1.63945719e-05  1.39810813e-04  2.74103056e+09  1.00000000e-06  4.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  5.88479927e-01  1.55997077e-04  4.30555661e-06  6.20129185e-05  2.14261992e-05  1.63033253e-04  2.35059845e+09  1.00000000e-06  4.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  6.17316045e-01  1.76611781e-04  4.30555661e-06  6.20129185e-05  2.64169456e-05  1.83071210e-04  2.09331501e+09  1.00000000e-06  4.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  6.43146005e-01  1.94857540e-04  4.30555661e-06  6.20129185e-05  3.13744167e-05  2.00722356e-04  1.90923283e+09  1.00000000e-06  4.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  4.58174875e-01  6.69313814e-05  8.61738762e-05  3.28135074e-04  6.01855227e-06  7.54327518e-05  2.53833165e+08  1.00000000e-06  4.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  5.14503749e-01  1.03672885e-04  8.61738762e-05  3.28135074e-04  1.12721914e-05  1.11761111e-04  1.71323764e+08  1.00000000e-06  4.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  5.55249930e-01  1.32226922e-04  8.61738762e-05  3.28135074e-04  1.63945719e-05  1.39810813e-04  1.36951740e+08  1.00000000e-06  4.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  5.88479927e-01  1.55997077e-04  8.61738762e-05  3.28135074e-04  2.14261992e-05  1.63033253e-04  1.17444348e+08  1.00000000e-06  4.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  6.17316045e-01  1.76611781e-04  8.61738762e-05  3.28135074e-04  2.64169456e-05  1.83071210e-04  1.04589543e+08  1.00000000e-06  4.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.65000000e+00  6.43146005e-01  1.94857540e-04  8.61738762e-05  3.28135074e-04  3.13744167e-05  2.00722356e-04  9.53921352e+07  1.00000000e-06  4.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.65000000e+00  4.58174875e-01  6.69313814e-05  2.50567040e-04  4.42322122e-04  6.01855227e-06  7.54327518e-05  8.72971471e+07  1.00000000e-06  4.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.65000000e+00  5.14503749e-01  1.03672885e-04  2.50567040e-04  4.42322122e-04  1.12721914e-05  1.11761111e-04  5.89208893e+07  1.00000000e-06  4.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.65000000e+00  5.55249930e-01  1.32226922e-04  2.50567040e-04  4.42322122e-04  1.63945719e-05  1.39810813e-04  4.70998193e+07  1.00000000e-06  4.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.65000000e+00  5.88479927e-01  1.55997077e-04  2.50567040e-04  4.42322122e-04  2.14261992e-05  1.63033253e-04  4.03909258e+07  1.00000000e-06  4.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.65000000e+00  6.17316045e-01  1.76611781e-04  2.50567040e-04  4.42322122e-04  2.64169456e-05  1.83071210e-04  3.59699596e+07  1.00000000e-06  4.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.65000000e+00  6.43146005e-01  1.94857540e-04  2.50567040e-04  4.42322122e-04  3.13744167e-05  2.00722356e-04  3.28068291e+07  1.00000000e-06  4.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.65000000e+00  4.58174875e-01  6.69313814e-05  4.37241287e-04  4.53024167e-04  6.01855227e-06  7.54327518e-05  5.00268122e+07  1.00000000e-06  4.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.65000000e+00  5.14503749e-01  1.03672885e-04  4.37241287e-04  4.53024167e-04  1.12721914e-05  1.11761111e-04  3.37654134e+07  1.00000000e-06  4.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.65000000e+00  5.55249930e-01  1.32226922e-04  4.37241287e-04  4.53024167e-04  1.63945719e-05  1.39810813e-04  2.69911892e+07  1.00000000e-06  4.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.65000000e+00  5.88479927e-01  1.55997077e-04  4.37241287e-04  4.53024167e-04  2.14261992e-05  1.63033253e-04  2.31465669e+07  1.00000000e-06  4.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.65000000e+00  6.17316045e-01  1.76611781e-04  4.37241287e-04  4.53024167e-04  2.64169456e-05  1.83071210e-04  2.06130724e+07  1.00000000e-06  4.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.65000000e+00  6.43146005e-01  1.94857540e-04  4.37241287e-04  4.53024167e-04  3.13744167e-05  2.00722356e-04  1.88003976e+07  1.00000000e-06  4.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  4.58174876e-01  6.69313820e-05  4.24658680e-06  6.13817395e-05  6.01855235e-06  7.54327524e-05  4.99482208e+09  1.00000000e-06  4.00000000e-07 
