i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.403572515,4.40471329e-05,6.62960791e-06,5.24276314e-05,5.51128339e-06,4.69466984e-05,5301405760.0,1e-06,1.5e-06,ff
1e-05,0.4125,1.65,0.4922493,6.5188069e-05,6.62960791e-06,5.24276314e-05,1.05978572e-05,6.78218746e-05,3669664080.0,1e-06,1.5e-06,ff
1.5e-05,0.4125,1.65,0.558590776,8.09541294e-05,6.62960791e-06,5.24276314e-05,1.5612187e-05,8.3272149e-05,2988796370.0,1e-06,1.5e-06,ff
2e-05,0.4125,1.65,0.613958076,9.37243581e-05,6.62960791e-06,5.24276314e-05,2.05694258e-05,9.57072633e-05,2600466130.0,1e-06,1.5e-06,ff
2.5e-05,0.4125,1.65,0.662779907,0.000104543834,6.62960791e-06,5.24276314e-05,2.54997121e-05,0.000106176954,2344044430.0,1e-06,1.5e-06,ff
3e-05,0.4125,1.65,0.707092382,0.000113931914,6.62960791e-06,5.24276314e-05,3.0406392e-05,0.000115199947,2160448010.0,1e-06,1.5e-06,ff
5e-06,0.825,1.65,0.403572515,4.40471329e-05,4.78607495e-05,0.000142597773,5.51128339e-06,4.69466984e-05,734343735.0,1e-06,1.5e-06,ff
1e-05,0.825,1.65,0.4922493,6.5188069e-05,4.78607495e-05,0.000142597773,1.05978572e-05,6.78218746e-05,508317029.0,1e-06,1.5e-06,ff
1.5e-05,0.825,1.65,0.558590776,8.09541294e-05,4.78607495e-05,0.000142597773,1.5612187e-05,8.3272149e-05,414004133.0,1e-06,1.5e-06,ff
2e-05,0.825,1.65,0.613958076,9.37243582e-05,4.78607495e-05,0.000142597773,2.05694258e-05,9.57072633e-05,360213140.0,1e-06,1.5e-06,ff
2.5e-05,0.825,1.65,0.662779907,0.000104543834,4.78607495e-05,0.000142597773,2.54997121e-05,0.000106176954,324693944.0,1e-06,1.5e-06,ff
3e-05,0.825,1.65,0.707092382,0.000113931914,4.78607495e-05,0.000142597773,3.0406392e-05,0.000115199947,299262410.0,1e-06,1.5e-06,ff
5e-06,1.2375,1.65,0.403572515,4.40471329e-05,0.000118417519,0.000192479356,5.51128339e-06,4.69466984e-05,296799341.0,1e-06,1.5e-06,ff
1e-05,1.2375,1.65,0.4922493,6.5188069e-05,0.000118417519,0.000192479356,1.05978572e-05,6.78218746e-05,205446240.0,1e-06,1.5e-06,ff
1.5e-05,1.2375,1.65,0.558590776,8.09541294e-05,0.000118417519,0.000192479356,1.5612187e-05,8.3272149e-05,167327844.0,1e-06,1.5e-06,ff
2e-05,1.2375,1.65,0.613958076,9.37243582e-05,0.000118417519,0.000192479356,2.05694258e-05,9.57072633e-05,145587165.0,1e-06,1.5e-06,ff
2.5e-05,1.2375,1.65,0.662779907,0.000104543834,0.000118417519,0.000192479356,2.54997121e-05,0.000106176954,131231389.0,1e-06,1.5e-06,ff
3e-05,1.2375,1.65,0.707092382,0.000113931914,0.000118417519,0.000192479356,3.0406392e-05,0.000115199947,120952739.0,1e-06,1.5e-06,ff
5e-06,1.65,1.65,0.403572515,4.40471329e-05,0.000201831843,0.000207099327,5.51128339e-06,4.69466984e-05,174136256.0,1e-06,1.5e-06,ff
1e-05,1.65,1.65,0.4922493,6.5188069e-05,0.000201831843,0.000207099327,1.05978572e-05,6.78218746e-05,120538135.0,1e-06,1.5e-06,ff
1.5e-05,1.65,1.65,0.558590776,8.09541294e-05,0.000201831843,0.000207099327,1.5612187e-05,8.3272149e-05,98173547.8,1e-06,1.5e-06,ff
2e-05,1.65,1.65,0.613958076,9.37243582e-05,0.000201831843,0.000207099327,2.05694258e-05,9.57072633e-05,85417992.4,1e-06,1.5e-06,ff
2.5e-05,1.65,1.65,0.662779907,0.000104543834,0.000201831843,0.000207099327,2.54997121e-05,0.000106176954,76995261.4,1e-06,1.5e-06,ff
3e-05,1.65,1.65,0.707092382,0.000113931914,0.000201831843,0.000207099327,3.0406392e-05,0.000115199947,70964635.8,1e-06,1.5e-06,ff
5e-06,0.4125,1.6,0.403572515,4.40471329e-05,6.59549487e-06,5.22658367e-05,5.51128339e-06,4.69466984e-05,5167345980.0,1e-06,1.5e-06,ff
1e-05,0.4125,1.6,0.4922493,6.5188069e-05,6.59549487e-06,5.22658367e-05,1.05978572e-05,6.78218746e-05,3576867110.0,1e-06,1.5e-06,ff
1.5e-05,0.4125,1.6,0.558590776,8.09541294e-05,6.59549487e-06,5.22658367e-05,1.5612187e-05,8.3272149e-05,2913216920.0,1e-06,1.5e-06,ff
2e-05,0.4125,1.6,0.613958076,9.37243581e-05,6.59549487e-06,5.22658367e-05,2.05694258e-05,9.57072633e-05,2534706610.0,1e-06,1.5e-06,ff
2.5e-05,0.4125,1.6,0.662779907,0.000104543834,6.59549487e-06,5.22658367e-05,2.54997121e-05,0.000106176954,2284769200.0,1e-06,1.5e-06,ff
3e-05,0.4125,1.6,0.707092382,0.000113931914,6.59549487e-06,5.22658367e-05,3.0406392e-05,0.000115199947,2105815490.0,1e-06,1.5e-06,ff
5e-06,0.825,1.6,0.403572515,4.40471329e-05,4.77450178e-05,0.000142363672,5.51128339e-06,4.69466984e-05,713816969.0,1e-06,1.5e-06,ff
1e-05,0.825,1.6,0.4922493,6.5188069e-05,4.77450178e-05,0.000142363672,1.05978572e-05,6.78218746e-05,494108282.0,1e-06,1.5e-06,ff
1.5e-05,0.825,1.6,0.558590776,8.09541294e-05,4.77450178e-05,0.000142363672,1.5612187e-05,8.3272149e-05,402431670.0,1e-06,1.5e-06,ff
2e-05,0.825,1.6,0.613958076,9.37243582e-05,4.77450178e-05,0.000142363672,2.05694258e-05,9.57072633e-05,350144271.0,1e-06,1.5e-06,ff
2.5e-05,0.825,1.6,0.662779907,0.000104543834,4.77450178e-05,0.000142363672,2.54997121e-05,0.000106176954,315617927.0,1e-06,1.5e-06,ff
3e-05,0.825,1.6,0.707092382,0.000113931914,4.77450178e-05,0.000142363672,3.0406392e-05,0.000115199947,290897269.0,1e-06,1.5e-06,ff
5e-06,1.2375,1.6,0.403572515,4.40471329e-05,0.000118185913,0.000192133881,5.51128339e-06,4.69466984e-05,288369426.0,1e-06,1.5e-06,ff
1e-05,1.2375,1.6,0.4922493,6.5188069e-05,0.000118185913,0.000192133881,1.05978572e-05,6.78218746e-05,199611004.0,1e-06,1.5e-06,ff
1.5e-05,1.2375,1.6,0.558590776,8.09541294e-05,0.000118185913,0.000192133881,1.5612187e-05,8.3272149e-05,162575275.0,1e-06,1.5e-06,ff
2e-05,1.2375,1.6,0.613958076,9.37243582e-05,0.000118185913,0.000192133881,2.05694258e-05,9.57072633e-05,141452091.0,1e-06,1.5e-06,ff
2.5e-05,1.2375,1.6,0.662779907,0.000104543834,0.000118185913,0.000192133881,2.54997121e-05,0.000106176954,127504058.0,1e-06,1.5e-06,ff
3e-05,1.2375,1.6,0.707092382,0.000113931914,0.000118185913,0.000192133881,3.0406392e-05,0.000115199947,117517350.0,1e-06,1.5e-06,ff
5e-06,1.65,1.6,0.403572515,4.40471329e-05,0.000201374132,0.000206180808,5.51128339e-06,4.69466984e-05,169243207.0,1e-06,1.5e-06,ff
1e-05,1.65,1.6,0.4922493,6.5188069e-05,0.000201374132,0.000206180808,1.05978572e-05,6.78218746e-05,117151138.0,1e-06,1.5e-06,ff
1.5e-05,1.65,1.6,0.558590776,8.09541294e-05,0.000201374132,0.000206180808,1.5612187e-05,8.3272149e-05,95414972.4,1e-06,1.5e-06,ff
2e-05,1.65,1.6,0.613958076,9.37243582e-05,0.000201374132,0.000206180808,2.05694258e-05,9.57072633e-05,83017835.0,1e-06,1.5e-06,ff
2.5e-05,1.65,1.6,0.662779907,0.000104543834,0.000201374132,0.000206180808,2.54997121e-05,0.000106176954,74831774.0,1e-06,1.5e-06,ff
3e-05,1.65,1.6,0.707092382,0.000113931914,0.000201374132,0.000206180808,3.0406392e-05,0.000115199947,68970602.8,1e-06,1.5e-06,ff
5e-06,0.4125,1.2375,0.403572515,4.40471329e-05,6.32321607e-06,5.09570658e-05,5.51128339e-06,4.69466984e-05,4168714280.0,1e-06,1.5e-06,ff
1e-05,0.4125,1.2375,0.4922493,6.5188069e-05,6.32321607e-06,5.09570658e-05,1.05978572e-05,6.78218746e-05,2885608410.0,1e-06,1.5e-06,ff
1.5e-05,0.4125,1.2375,0.558590776,8.09541294e-05,6.32321607e-06,5.09570658e-05,1.5612187e-05,8.3272149e-05,2350214020.0,1e-06,1.5e-06,ff
2e-05,0.4125,1.2375,0.613958076,9.37243581e-05,6.32321607e-06,5.09570658e-05,2.05694258e-05,9.57072633e-05,2044853910.0,1e-06,1.5e-06,ff
2.5e-05,0.4125,1.2375,0.662779907,0.000104543834,6.32321607e-06,5.09570658e-05,2.54997121e-05,0.000106176954,1843218940.0,1e-06,1.5e-06,ff
3e-05,0.4125,1.2375,0.707092382,0.000113931914,6.32321607e-06,5.09570658e-05,3.0406392e-05,0.000115199947,1698849500.0,1e-06,1.5e-06,ff
5e-06,0.825,1.2375,0.403572515,4.40471329e-05,4.678761e-05,0.000140333578,5.51128339e-06,4.69466984e-05,563390204.0,1e-06,1.5e-06,ff
1e-05,0.825,1.2375,0.4922493,6.5188069e-05,4.678761e-05,0.000140333578,1.05978572e-05,6.78218746e-05,389981995.0,1e-06,1.5e-06,ff
1.5e-05,0.825,1.2375,0.558590776,8.09541294e-05,4.678761e-05,0.000140333578,1.5612187e-05,8.3272149e-05,317624924.0,1e-06,1.5e-06,ff
2e-05,0.825,1.2375,0.613958076,9.37243582e-05,4.678761e-05,0.000140333578,2.05694258e-05,9.57072633e-05,276356350.0,1e-06,1.5e-06,ff
2.5e-05,0.825,1.2375,0.662779907,0.000104543834,4.678761e-05,0.000140333578,2.54997121e-05,0.000106176954,249105941.0,1e-06,1.5e-06,ff
3e-05,0.825,1.2375,0.707092382,0.000113931914,4.678761e-05,0.000140333578,3.0406392e-05,0.000115199947,229594810.0,1e-06,1.5e-06,ff
5e-06,1.2375,1.2375,0.403572515,4.40471329e-05,0.000116131729,0.000188393828,5.51128339e-06,4.69466984e-05,226980872.0,1e-06,1.5e-06,ff
1e-05,1.2375,1.2375,0.4922493,6.5188069e-05,0.000116131729,0.000188393828,1.05978572e-05,6.78218746e-05,157117487.0,1e-06,1.5e-06,ff
1.5e-05,1.2375,1.2375,0.558590776,8.09541294e-05,0.000116131729,0.000188393828,1.5612187e-05,8.3272149e-05,127965984.0,1e-06,1.5e-06,ff
2e-05,1.2375,1.2375,0.613958076,9.37243582e-05,0.000116131729,0.000188393828,2.05694258e-05,9.57072633e-05,111339538.0,1e-06,1.5e-06,ff
2.5e-05,1.2375,1.2375,0.662779907,0.000104543834,0.000116131729,0.000188393828,2.54997121e-05,0.000106176954,100360786.0,1e-06,1.5e-06,ff
3e-05,1.2375,1.2375,0.707092382,0.000113931914,0.000116131729,0.000188393828,3.0406392e-05,0.000115199947,92500064.3,1e-06,1.5e-06,ff
5e-06,1.65,1.2375,0.403572515,4.40471329e-05,0.000195993067,0.000190199782,5.51128339e-06,4.69466984e-05,134492926.0,1e-06,1.5e-06,ff
1e-05,1.65,1.2375,0.4922493,6.5188069e-05,0.000195993067,0.000190199782,1.05978572e-05,6.78218746e-05,93096790.3,1e-06,1.5e-06,ff
1.5e-05,1.65,1.2375,0.558590776,8.09541294e-05,0.000195993067,0.000190199782,1.5612187e-05,8.3272149e-05,75823656.7,1e-06,1.5e-06,ff
2e-05,1.65,1.2375,0.613958076,9.37243582e-05,0.000195993067,0.000190199782,2.05694258e-05,9.57072633e-05,65971992.3,1e-06,1.5e-06,ff
2.5e-05,1.65,1.2375,0.662779907,0.000104543834,0.000195993067,0.000190199782,2.54997121e-05,0.000106176954,59466754.6,1e-06,1.5e-06,ff
