 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  4.98853005e-01  7.65223225e-05  2.04985899e-06  4.58815566e-05  6.28086077e-06  8.92168222e-05  9.02221573e+09  1.00000000e-06  2.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  5.47041641e-01  1.21875027e-04  2.04985899e-06  4.58815566e-05  1.16270310e-05  1.34030749e-04  6.00558772e+09  1.00000000e-06  2.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  5.81156453e-01  1.58285112e-04  2.04985899e-06  4.58815566e-05  1.68034666e-05  1.69870929e-04  4.73850012e+09  1.00000000e-06  2.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  6.08546001e-01  1.89135043e-04  2.04985899e-06  4.58815566e-05  2.18679457e-05  2.00086898e-04  4.02291916e+09  1.00000000e-06  2.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  6.32064745e-01  2.16248612e-04  2.04985899e-06  4.58815566e-05  2.68839311e-05  2.26500225e-04  3.55378638e+09  1.00000000e-06  2.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  6.52953031e-01  2.40490882e-04  2.04985899e-06  4.58815566e-05  3.18606714e-05  2.49992624e-04  3.21982867e+09  1.00000000e-06  2.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  4.98853005e-01  7.65223225e-05  1.03072955e-04  4.56456236e-04  6.28086077e-06  8.92168223e-05  1.79428930e+08  1.00000000e-06  2.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  5.47041641e-01  1.21875027e-04  1.03072955e-04  4.56456236e-04  1.16270310e-05  1.34030749e-04  1.19435870e+08  1.00000000e-06  2.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  5.81156453e-01  1.58285112e-04  1.03072955e-04  4.56456236e-04  1.68034666e-05  1.69870929e-04  9.42367190e+07  1.00000000e-06  2.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  6.08546001e-01  1.89135043e-04  1.03072955e-04  4.56456236e-04  2.18679457e-05  2.00086898e-04  8.00056332e+07  1.00000000e-06  2.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  6.32064745e-01  2.16248612e-04  1.03072955e-04  4.56456236e-04  2.68839311e-05  2.26500225e-04  7.06757751e+07  1.00000000e-06  2.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.65000000e+00  6.52953031e-01  2.40490882e-04  1.03072955e-04  4.56456236e-04  3.18606714e-05  2.49992624e-04  6.40342053e+07  1.00000000e-06  2.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.65000000e+00  4.98853005e-01  7.65223225e-05  3.34965380e-04  6.19348337e-04  6.28086077e-06  8.92168223e-05  5.52124820e+07  1.00000000e-06  2.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.65000000e+00  5.47041641e-01  1.21875027e-04  3.34965380e-04  6.19348337e-04  1.16270310e-05  1.34030749e-04  3.67518815e+07  1.00000000e-06  2.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.65000000e+00  5.81156453e-01  1.58285112e-04  3.34965380e-04  6.19348337e-04  1.68034666e-05  1.69870929e-04  2.89977939e+07  1.00000000e-06  2.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.65000000e+00  6.08546001e-01  1.89135043e-04  3.34965380e-04  6.19348337e-04  2.18679457e-05  2.00086898e-04  2.46187143e+07  1.00000000e-06  2.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.65000000e+00  6.32064745e-01  2.16248612e-04  3.34965380e-04  6.19348337e-04  2.68839311e-05  2.26500225e-04  2.17478026e+07  1.00000000e-06  2.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.65000000e+00  6.52953031e-01  2.40490882e-04  3.34965380e-04  6.19348337e-04  3.18606714e-05  2.49992624e-04  1.97041101e+07  1.00000000e-06  2.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.65000000e+00  4.98853005e-01  7.65223225e-05  5.92313088e-04  6.16024342e-04  6.28086077e-06  8.92168223e-05  3.12238078e+07  1.00000000e-06  2.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.65000000e+00  5.47041641e-01  1.21875027e-04  5.92313088e-04  6.16024342e-04  1.16270310e-05  1.34030749e-04  2.07839540e+07  1.00000000e-06  2.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.65000000e+00  5.81156453e-01  1.58285112e-04  5.92313088e-04  6.16024342e-04  1.68034666e-05  1.69870929e-04  1.63988561e+07  1.00000000e-06  2.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.65000000e+00  6.08546001e-01  1.89135043e-04  5.92313088e-04  6.16024342e-04  2.18679457e-05  2.00086898e-04  1.39223954e+07  1.00000000e-06  2.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.65000000e+00  6.32064745e-01  2.16248612e-04  5.92313088e-04  6.16024342e-04  2.68839311e-05  2.26500225e-04  1.22988350e+07  1.00000000e-06  2.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.65000000e+00  6.52953031e-01  2.40490882e-04  5.92313088e-04  6.16024342e-04  3.18606714e-05  2.49992624e-04  1.11430844e+07  1.00000000e-06  2.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  4.98853005e-01  7.65223225e-05  2.01008856e-06  4.50528528e-05  6.28086077e-06  8.92168222e-05  8.92191415e+09  1.00000000e-06  2.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.60000000e+00  5.47041641e-01  1.21875027e-04  2.01008856e-06  4.50528528e-05  1.16270310e-05  1.34030749e-04  5.93882253e+09  1.00000000e-06  2.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.60000000e+00  5.81156453e-01  1.58285112e-04  2.01008856e-06  4.50528528e-05  1.68034666e-05  1.69870929e-04  4.68582137e+09  1.00000000e-06  2.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.60000000e+00  6.08546001e-01  1.89135043e-04  2.01008856e-06  4.50528528e-05  2.18679457e-05  2.00086898e-04  3.97819565e+09  1.00000000e-06  2.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.60000000e+00  6.32064745e-01  2.16248612e-04  2.01008856e-06  4.50528528e-05  2.68839311e-05  2.26500225e-04  3.51427831e+09  1.00000000e-06  2.00000000e-07 
