 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  3.50926885e-01  6.43419380e-05  1.41725454e-05  1.23867265e-04  6.22665048e-06  7.44094471e-05  1.56461687e+09  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  4.09574395e-01  9.92418105e-05  1.41725454e-05  1.23867265e-04  1.15985334e-05  1.09355193e-04  1.06462504e+09  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  4.52098699e-01  1.26361349e-04  1.41725454e-05  1.23867265e-04  1.68184574e-05  1.36289252e-04  8.54229327e+08  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  4.86804160e-01  1.49027264e-04  1.41725454e-05  1.23867265e-04  2.19364541e-05  1.58676197e-04  7.33709774e+08  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  5.16910809e-01  1.68795385e-04  1.41725454e-05  1.23867265e-04  2.70064342e-05  1.78108873e-04  6.53657923e+08  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  5.43854952e-01  1.86409022e-04  1.41725454e-05  1.23867265e-04  3.20381423e-05  1.95347957e-04  5.95973862e+08  1.00000000e-06  5.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  3.50926885e-01  6.43419380e-05  1.19314450e-04  3.70073201e-04  6.22665048e-06  7.44094471e-05  1.85850110e+08  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  4.09574395e-01  9.92418105e-05  1.19314450e-04  3.70073201e-04  1.15985334e-05  1.09355193e-04  1.26459509e+08  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  4.52098699e-01  1.26361349e-04  1.19314450e-04  3.70073201e-04  1.68184574e-05  1.36289252e-04  1.01468045e+08  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  4.86804160e-01  1.49027264e-04  1.19314450e-04  3.70073201e-04  2.19364541e-05  1.58676197e-04  8.71523533e+07  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  5.16910809e-01  1.68795385e-04  1.19314450e-04  3.70073201e-04  2.70064342e-05  1.78108873e-04  7.76435429e+07  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.65000000e+00  5.43854952e-01  1.86409022e-04  1.19314450e-04  3.70073201e-04  3.20381423e-05  1.95347957e-04  7.07916487e+07  1.00000000e-06  5.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.65000000e+00  3.50926885e-01  6.43419380e-05  2.99710625e-04  4.82541026e-04  6.22665048e-06  7.44094471e-05  7.39867120e+07  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.65000000e+00  4.09574395e-01  9.92418105e-05  2.99710625e-04  4.82541026e-04  1.15985334e-05  1.09355193e-04  5.03433829e+07  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.65000000e+00  4.52098699e-01  1.26361349e-04  2.99710625e-04  4.82541026e-04  1.68184574e-05  1.36289252e-04  4.03943102e+07  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.65000000e+00  4.86804160e-01  1.49027264e-04  2.99710625e-04  4.82541026e-04  2.19364541e-05  1.58676197e-04  3.46952501e+07  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.65000000e+00  5.16910809e-01  1.68795385e-04  2.99710625e-04  4.82541026e-04  2.70064342e-05  1.78108873e-04  3.09098038e+07  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.65000000e+00  5.43854952e-01  1.86409022e-04  2.99710625e-04  4.82541026e-04  3.20381423e-05  1.95347957e-04  2.81820727e+07  1.00000000e-06  5.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.65000000e+00  3.50926885e-01  6.43419380e-05  5.03660205e-04  4.94014618e-04  6.22665048e-06  7.44094471e-05  4.40269123e+07  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.65000000e+00  4.09574395e-01  9.92418105e-05  5.03660205e-04  4.94014618e-04  1.15985334e-05  1.09355193e-04  2.99575916e+07  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.65000000e+00  4.52098699e-01  1.26361349e-04  5.03660205e-04  4.94014618e-04  1.68184574e-05  1.36289252e-04  2.40372454e+07  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.65000000e+00  4.86804160e-01  1.49027264e-04  5.03660205e-04  4.94014618e-04  2.19364541e-05  1.58676197e-04  2.06459335e+07  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.65000000e+00  5.16910809e-01  1.68795385e-04  5.03660205e-04  4.94014618e-04  2.70064342e-05  1.78108873e-04  1.83933464e+07  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.65000000e+00  5.43854952e-01  1.86409022e-04  5.03660205e-04  4.94014618e-04  3.20381423e-05  1.95347957e-04  1.67701687e+07  1.00000000e-06  5.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  3.50926885e-01  6.43419380e-05  1.40586180e-05  1.23247125e-04  6.22665048e-06  7.44094471e-05  1.52949927e+09  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.60000000e+00  4.09574395e-01  9.92418105e-05  1.40586180e-05  1.23247125e-04  1.15985334e-05  1.09355193e-04  1.04072968e+09  1.00000000e-06  5.00000000e-07 
