 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  4.56473413e-01  6.29070701e-05  4.32808273e-06  5.80359055e-05  5.89126959e-06  6.98425786e-05  5.45843478e+09  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  5.16840898e-01  9.66051637e-05  4.32808273e-06  5.80359055e-05  1.10969341e-05  1.03127925e-04  3.69668214e+09  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  5.60785875e-01  1.22598980e-04  4.32808273e-06  5.80359055e-05  1.61874377e-05  1.28634451e-04  2.96367853e+09  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  5.96778690e-01  1.44141260e-04  4.32808273e-06  5.80359055e-05  2.11960356e-05  1.49657997e-04  2.54734907e+09  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  6.28102461e-01  1.62755707e-04  4.32808273e-06  5.80359055e-05  2.61678445e-05  1.67734214e-04  2.27282884e+09  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  6.56226307e-01  1.79182535e-04  4.32808273e-06  5.80359055e-05  3.11093879e-05  1.83611590e-04  2.07629137e+09  1.00000000e-06  5.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  4.56473413e-01  6.29070701e-05  7.59492941e-05  2.83019997e-04  5.89126959e-06  6.98425786e-05  3.11056970e+08  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  5.16840898e-01  9.66051637e-05  7.59492941e-05  2.83019997e-04  1.10969341e-05  1.03127925e-04  2.10660893e+08  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  5.60785875e-01  1.22598980e-04  7.59492941e-05  2.83019997e-04  1.61874377e-05  1.28634451e-04  1.68889600e+08  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  5.96778690e-01  1.44141260e-04  7.59492941e-05  2.83019997e-04  2.11960356e-05  1.49657997e-04  1.45164450e+08  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  6.28102461e-01  1.62755707e-04  7.59492941e-05  2.83019997e-04  2.61678445e-05  1.67734214e-04  1.29520510e+08  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.65000000e+00  6.56226307e-01  1.79182535e-04  7.59492941e-05  2.83019997e-04  3.11093879e-05  1.83611590e-04  1.18320532e+08  1.00000000e-06  5.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.65000000e+00  4.56473413e-01  6.29070701e-05  2.18668078e-04  3.87053485e-04  5.89126959e-06  6.98425786e-05  1.08038437e+08  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.65000000e+00  5.16840898e-01  9.66051637e-05  2.18668078e-04  3.87053485e-04  1.10969341e-05  1.03127925e-04  7.31681838e+07  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.65000000e+00  5.60785875e-01  1.22598980e-04  2.18668078e-04  3.87053485e-04  1.61874377e-05  1.28634451e-04  5.86598922e+07  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.65000000e+00  5.96778690e-01  1.44141260e-04  2.18668078e-04  3.87053485e-04  2.11960356e-05  1.49657997e-04  5.04195108e+07  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.65000000e+00  6.28102461e-01  1.62755707e-04  2.18668078e-04  3.87053485e-04  2.61678445e-05  1.67734214e-04  4.49859503e+07  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.65000000e+00  6.56226307e-01  1.79182535e-04  2.18668078e-04  3.87053485e-04  3.11093879e-05  1.83611590e-04  4.10958972e+07  1.00000000e-06  5.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.65000000e+00  4.56473413e-01  6.29070701e-05  3.83200132e-04  4.01670908e-04  5.89126959e-06  6.98425786e-05  6.16507024e+07  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.65000000e+00  5.16840898e-01  9.66051637e-05  3.83200132e-04  4.01670908e-04  1.10969341e-05  1.03127925e-04  4.17524546e+07  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.65000000e+00  5.60785875e-01  1.22598980e-04  3.83200132e-04  4.01670908e-04  1.61874377e-05  1.28634451e-04  3.34734903e+07  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.65000000e+00  5.96778690e-01  1.44141260e-04  3.83200132e-04  4.01670908e-04  2.11960356e-05  1.49657997e-04  2.87712258e+07  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.65000000e+00  6.28102461e-01  1.62755707e-04  3.83200132e-04  4.01670908e-04  2.61678445e-05  1.67734214e-04  2.56706365e+07  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.65000000e+00  6.56226307e-01  1.79182535e-04  3.83200132e-04  4.01670908e-04  3.11093879e-05  1.83611590e-04  2.34508292e+07  1.00000000e-06  5.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  4.56473413e-01  6.29070701e-05  4.27509723e-06  5.75337146e-05  5.89126959e-06  6.98425786e-05  5.35862939e+09  1.00000000e-06  5.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.60000000e+00  5.16840898e-01  9.66051637e-05  4.27509723e-06  5.75337146e-05  1.10969341e-05  1.03127925e-04  3.62908972e+09  1.00000000e-06  5.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.60000000e+00  5.60785875e-01  1.22598980e-04  4.27509723e-06  5.75337146e-05  1.61874377e-05  1.28634451e-04  2.90948881e+09  1.00000000e-06  5.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.60000000e+00  5.96778690e-01  1.44141260e-04  4.27509723e-06  5.75337146e-05  2.11960356e-05  1.49657997e-04  2.50077177e+09  1.00000000e-06  5.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.60000000e+00  6.28102461e-01  1.62755707e-04  4.27509723e-06  5.75337146e-05  2.61678445e-05  1.67734214e-04  2.23127104e+09  1.00000000e-06  5.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.60000000e+00  6.56226307e-01  1.79182535e-04  4.27509723e-06  5.75337146e-05  3.11093879e-05  1.83611590e-04  2.03832718e+09  1.00000000e-06  5.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.60000000e+00  4.56473413e-01  6.29070701e-05  7.56421948e-05  2.82317472e-04  5.89126959e-06  6.98425786e-05  3.02855591e+08  1.00000000e-06  5.00000000e-07 
