 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  4.03416834e-01  6.74118047e-05  8.82309137e-06  9.75124614e-05  6.21623201e-06  7.77491051e-05  2.40529179e+09  1.00000000e-06  4.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  4.59099770e-01  1.04837414e-04  8.82309137e-06  9.75124614e-05  1.15635380e-05  1.15041887e-04  1.62557559e+09  1.00000000e-06  4.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  4.99242313e-01  1.34115106e-04  8.82309137e-06  9.75124614e-05  1.67590914e-05  1.44009112e-04  1.29859341e+09  1.00000000e-06  4.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  5.31880189e-01  1.58659924e-04  8.82309137e-06  9.75124614e-05  2.18526009e-05  1.68162780e-04  1.11207298e+09  1.00000000e-06  4.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  5.60126257e-01  1.80106872e-04  8.82309137e-06  9.75124614e-05  2.68992479e-05  1.89165099e-04  9.88603528e+08  1.00000000e-06  4.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  5.85360422e-01  1.99234135e-04  8.82309137e-06  9.75124614e-05  3.19083175e-05  2.07809992e-04  8.99905159e+08  1.00000000e-06  4.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  4.03416834e-01  6.74118047e-05  1.11023935e-04  3.84807222e-04  6.21623200e-06  7.77491051e-05  1.91148956e+08  1.00000000e-06  4.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  4.59099770e-01  1.04837414e-04  1.11023935e-04  3.84807222e-04  1.15635380e-05  1.15041887e-04  1.29184774e+08  1.00000000e-06  4.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  4.99242313e-01  1.34115106e-04  1.11023935e-04  3.84807222e-04  1.67590914e-05  1.44009112e-04  1.03199444e+08  1.00000000e-06  4.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  5.31880189e-01  1.58659924e-04  1.11023935e-04  3.84807222e-04  2.18526009e-05  1.68162780e-04  8.83766330e+07  1.00000000e-06  4.00000000e-07 
