 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  3.57844459e-01  7.26558757e-05  1.58878642e-05  1.54479652e-04  6.64473093e-06  8.80714300e-05  1.17918889e+09  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  4.08815924e-01  1.14560030e-04  1.58878642e-05  1.54479652e-04  1.21867057e-05  1.30387672e-04  7.96492873e+08  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  4.45184618e-01  1.47748720e-04  1.58878642e-05  1.54479652e-04  1.75274378e-05  1.63637652e-04  6.34651317e+08  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  4.74538424e-01  1.75822292e-04  1.58878642e-05  1.54479652e-04  2.27396193e-05  1.91616129e-04  5.41983871e+08  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  4.99810326e-01  2.00557049e-04  1.58878642e-05  1.54479652e-04  2.78916018e-05  2.16152741e-04  4.80460489e+08  1.00000000e-06  3.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  5.22286228e-01  2.22782401e-04  1.58878642e-05  1.54479652e-04  3.29964624e-05  2.38104218e-04  4.36165525e+08  1.00000000e-06  3.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  3.57844388e-01  7.26558221e-05  1.62048515e-04  5.30386380e-04  6.64472466e-06  8.80713755e-05  1.15612318e+08  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  4.08815924e-01  1.14560030e-04  1.62048515e-04  5.30386380e-04  1.21867057e-05  1.30387672e-04  7.80912469e+07  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  4.45184618e-01  1.47748720e-04  1.62048515e-04  5.30386380e-04  1.75274378e-05  1.63637652e-04  6.22236738e+07  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  4.74538424e-01  1.75822292e-04  1.62048515e-04  5.30386380e-04  2.27396193e-05  1.91616129e-04  5.31381984e+07  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  4.99810326e-01  2.00557049e-04  1.62048515e-04  5.30386380e-04  2.78916018e-05  2.16152741e-04  4.71062076e+07  1.00000000e-06  3.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.65000000e+00  5.22286228e-01  2.22782401e-04  1.62048515e-04  5.30386380e-04  3.29964624e-05  2.38104218e-04  4.27633578e+07  1.00000000e-06  3.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.65000000e+00  3.57844388e-01  7.26558221e-05  4.18775758e-04  6.77495306e-04  6.64472466e-06  8.80713755e-05  4.47370798e+07  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.65000000e+00  4.08815924e-01  1.14560030e-04  4.18775758e-04  6.77495306e-04  1.21867057e-05  1.30387672e-04  3.02180113e+07  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.65000000e+00  4.45184618e-01  1.47748720e-04  4.18775758e-04  6.77495306e-04  1.75274378e-05  1.63637652e-04  2.40779313e+07  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.65000000e+00  4.74538424e-01  1.75822292e-04  4.18775758e-04  6.77495306e-04  2.27396193e-05  1.91616129e-04  2.05622364e+07  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.65000000e+00  4.99810326e-01  2.00557049e-04  4.18775758e-04  6.77495306e-04  2.78916018e-05  2.16152741e-04  1.82281110e+07  1.00000000e-06  3.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.65000000e+00  5.22286228e-01  2.22782401e-04  4.18775758e-04  6.77495306e-04  3.29964624e-05  2.38104218e-04  1.65476117e+07  1.00000000e-06  3.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.65000000e+00  3.57844388e-01  7.26558221e-05  7.00195594e-04  6.70701001e-04  6.64472466e-06  8.80713755e-05  2.67565301e+07  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.65000000e+00  4.08815924e-01  1.14560030e-04  7.00195594e-04  6.70701001e-04  1.21867057e-05  1.30387672e-04  1.80729081e+07  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.65000000e+00  4.45184618e-01  1.47748720e-04  7.00195594e-04  6.70701001e-04  1.75274378e-05  1.63637652e-04  1.44006247e+07  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.65000000e+00  4.74538424e-01  1.75822292e-04  7.00195594e-04  6.70701001e-04  2.27396193e-05  1.91616129e-04  1.22979439e+07  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.65000000e+00  4.99810326e-01  2.00557049e-04  7.00195594e-04  6.70701001e-04  2.78916018e-05  2.16152741e-04  1.09019409e+07  1.00000000e-06  3.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.65000000e+00  5.22286228e-01  2.22782401e-04  7.00195594e-04  6.70701001e-04  3.29964624e-05  2.38104218e-04  9.89686123e+06  1.00000000e-06  3.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  3.57844459e-01  7.26558757e-05  1.57228123e-05  1.53442265e-04  6.64473093e-06  8.80714300e-05  1.15545944e+09  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.60000000e+00  4.08815924e-01  1.14560030e-04  1.57228123e-05  1.53442265e-04  1.21867057e-05  1.30387672e-04  7.80464622e+08  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.60000000e+00  4.45184618e-01  1.47748720e-04  1.57228123e-05  1.53442265e-04  1.75274378e-05  1.63637652e-04  6.21879890e+08  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.60000000e+00  4.74538424e-01  1.75822292e-04  1.57228123e-05  1.53442265e-04  2.27396193e-05  1.91616129e-04  5.31077241e+08  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.60000000e+00  4.99810326e-01  2.00557049e-04  1.57228123e-05  1.53442265e-04  2.78916018e-05  2.16152741e-04  4.70791926e+08  1.00000000e-06  3.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.60000000e+00  5.22286228e-01  2.22782401e-04  1.57228123e-05  1.53442265e-04  3.29964624e-05  2.38104218e-04  4.27388334e+08  1.00000000e-06  3.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.60000000e+00  3.57844388e-01  7.26558221e-05  1.61304163e-04  5.28626506e-04  6.64472466e-06  8.80713755e-05  1.12626251e+08  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.60000000e+00  4.08815924e-01  1.14560030e-04  1.61304163e-04  5.28626506e-04  1.21867057e-05  1.30387672e-04  7.60742843e+07  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.60000000e+00  4.45184618e-01  1.47748720e-04  1.61304163e-04  5.28626506e-04  1.75274378e-05  1.63637652e-04  6.06165433e+07  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.60000000e+00  4.74538424e-01  1.75822292e-04  1.61304163e-04  5.28626506e-04  2.27396193e-05  1.91616129e-04  5.17657301e+07  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.60000000e+00  4.99810326e-01  2.00557049e-04  1.61304163e-04  5.28626506e-04  2.78916018e-05  2.16152741e-04  4.58895353e+07  1.00000000e-06  3.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.60000000e+00  5.22286228e-01  2.22782401e-04  1.61304163e-04  5.28626506e-04  3.29964624e-05  2.38104218e-04  4.16588538e+07  1.00000000e-06  3.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.60000000e+00  3.57844388e-01  7.26558221e-05  4.17111747e-04  6.74619435e-04  6.64472466e-06  8.80713755e-05  4.35544750e+07  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.60000000e+00  4.08815924e-01  1.14560030e-04  4.17111747e-04  6.74619435e-04  1.21867057e-05  1.30387672e-04  2.94192116e+07  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.60000000e+00  4.45184618e-01  1.47748720e-04  4.17111747e-04  6.74619435e-04  1.75274378e-05  1.63637652e-04  2.34414419e+07  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.60000000e+00  4.74538424e-01  1.75822292e-04  4.17111747e-04  6.74619435e-04  2.27396193e-05  1.91616129e-04  2.00186828e+07  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.60000000e+00  4.99810326e-01  2.00557049e-04  4.17111747e-04  6.74619435e-04  2.78916018e-05  2.16152741e-04  1.77462590e+07  1.00000000e-06  3.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.60000000e+00  5.22286228e-01  2.22782401e-04  4.17111747e-04  6.74619435e-04  3.29964624e-05  2.38104218e-04  1.61101829e+07  1.00000000e-06  3.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.60000000e+00  3.57844388e-01  7.26558221e-05  6.96871693e-04  6.65277687e-04  6.64472466e-06  8.80713755e-05  2.60694807e+07  1.00000000e-06  3.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.60000000e+00  4.08815924e-01  1.14560030e-04  6.96871693e-04  6.65277687e-04  1.21867057e-05  1.30387672e-04  1.76088351e+07  1.00000000e-06  3.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.60000000e+00  4.45184618e-01  1.47748720e-04  6.96871693e-04  6.65277687e-04  1.75274378e-05  1.63637652e-04  1.40308480e+07  1.00000000e-06  3.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.60000000e+00  4.74538424e-01  1.75822292e-04  6.96871693e-04  6.65277687e-04  2.27396193e-05  1.91616129e-04  1.19821595e+07  1.00000000e-06  3.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.60000000e+00  4.99810326e-01  2.00557049e-04  6.96871693e-04  6.65277687e-04  2.78916018e-05  2.16152741e-04  1.06220028e+07  1.00000000e-06  3.00000000e-07 
