i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.569269281,3.19483617e-05,1.59778157e-06,1.65970079e-05,5.17410726e-06,3.26772468e-05,31602473800.0,1e-06,3e-06,ss
1e-05,0.4125,1.65,0.694454965,4.59495542e-05,1.59778157e-06,1.65970079e-05,1.0131626e-05,4.63807307e-05,22265320500.0,1e-06,3e-06,ss
1.5e-05,0.4125,1.65,0.790343496,5.59208983e-05,1.59778157e-06,1.65970079e-05,1.50498196e-05,5.6048278e-05,18424862800.0,1e-06,3e-06,ss
2e-05,0.4125,1.65,0.871909587,6.36657288e-05,1.59778157e-06,1.65970079e-05,1.99297753e-05,6.34748529e-05,16269148900.0,1e-06,3e-06,ss
2.5e-05,0.4125,1.65,0.944967688,6.99561134e-05,1.59778157e-06,1.65970079e-05,2.47882446e-05,6.94083416e-05,14878353400.0,1e-06,3e-06,ss
3e-05,0.4125,1.65,1.01223922,7.51872804e-05,1.59778157e-06,1.65970079e-05,2.96225083e-05,7.42018491e-05,13917198100.0,1e-06,3e-06,ss
5e-06,0.825,1.65,0.569269699,3.19484094e-05,1.78601964e-05,6.12644591e-05,5.17412093e-06,3.26772937e-05,2827168110.0,1e-06,3e-06,ss
1e-05,0.825,1.65,0.694454965,4.59495542e-05,1.78601964e-05,6.12644591e-05,1.0131626e-05,4.63807307e-05,1991866040.0,1e-06,3e-06,ss
1.5e-05,0.825,1.65,0.790343496,5.59208983e-05,1.78601964e-05,6.12644591e-05,1.50498196e-05,5.6048278e-05,1648296900.0,1e-06,3e-06,ss
2e-05,0.825,1.65,0.871909587,6.36657288e-05,1.78601964e-05,6.12644591e-05,1.99297753e-05,6.34748529e-05,1455445710.0,1e-06,3e-06,ss
2.5e-05,0.825,1.65,0.944967688,6.99561134e-05,1.78601964e-05,6.12644591e-05,2.47882446e-05,6.94083416e-05,1331024490.0,1e-06,3e-06,ss
3e-05,0.825,1.65,1.01223922,7.51872804e-05,1.78601964e-05,6.12644591e-05,2.96225083e-05,7.42018491e-05,1245039090.0,1e-06,3e-06,ss
5e-06,1.2375,1.65,0.569269699,3.19484094e-05,4.97620825e-05,9.0062973e-05,5.17412093e-06,3.26772937e-05,1014703870.0,1e-06,3e-06,ss
1e-05,1.2375,1.65,0.694454965,4.59495542e-05,4.97620825e-05,9.0062973e-05,1.0131626e-05,4.63807307e-05,714904138.0,1e-06,3e-06,ss
1.5e-05,1.2375,1.65,0.790343496,5.59208983e-05,4.97620825e-05,9.0062973e-05,1.50498196e-05,5.6048278e-05,591593131.0,1e-06,3e-06,ss
2e-05,1.2375,1.65,0.871909587,6.36657288e-05,4.97620825e-05,9.0062973e-05,1.99297753e-05,6.34748529e-05,522376575.0,1e-06,3e-06,ss
2.5e-05,1.2375,1.65,0.944967688,6.99561134e-05,4.97620825e-05,9.0062973e-05,2.47882446e-05,6.94083416e-05,477720336.0,1e-06,3e-06,ss
3e-05,1.2375,1.65,1.01223922,7.51872804e-05,4.97620825e-05,9.0062973e-05,2.96225083e-05,7.42018491e-05,446859165.0,1e-06,3e-06,ss
5e-06,1.65,1.65,0.569269699,3.19484094e-05,8.97525406e-05,0.000101448296,5.17412093e-06,3.26772937e-05,562588839.0,1e-06,3e-06,ss
1e-05,1.65,1.65,0.694454965,4.59495542e-05,8.97525406e-05,0.000101448296,1.0131626e-05,4.63807307e-05,396368932.0,1e-06,3e-06,ss
1.5e-05,1.65,1.65,0.790343496,5.59208983e-05,8.97525406e-05,0.000101448296,1.50498196e-05,5.6048278e-05,328000812.0,1e-06,3e-06,ss
2e-05,1.65,1.65,0.871909587,6.36657288e-05,8.97525406e-05,0.000101448296,1.99297753e-05,6.34748529e-05,289624629.0,1e-06,3e-06,ss
2.5e-05,1.65,1.65,0.944967688,6.99561134e-05,8.97525406e-05,0.000101448296,2.47882446e-05,6.94083416e-05,264865581.0,1e-06,3e-06,ss
3e-05,1.65,1.65,1.01223922,7.51872804e-05,8.97525406e-05,0.000101448296,2.96225083e-05,7.42018491e-05,247755022.0,1e-06,3e-06,ss
5e-06,0.4125,1.6,0.569269281,3.19483617e-05,1.58890718e-06,1.65414154e-05,5.17410726e-06,3.26772468e-05,30815981000.0,1e-06,3e-06,ss
1e-05,0.4125,1.6,0.694454965,4.59495542e-05,1.58890718e-06,1.65414154e-05,1.0131626e-05,4.63807307e-05,21711202000.0,1e-06,3e-06,ss
1.5e-05,0.4125,1.6,0.790343496,5.59208983e-05,1.58890718e-06,1.65414154e-05,1.50498196e-05,5.6048278e-05,17966322100.0,1e-06,3e-06,ss
2e-05,0.4125,1.6,0.871909587,6.36657288e-05,1.58890718e-06,1.65414154e-05,1.99297753e-05,6.34748529e-05,15864257500.0,1e-06,3e-06,ss
2.5e-05,0.4125,1.6,0.944967688,6.99561134e-05,1.58890718e-06,1.65414154e-05,2.47882446e-05,6.94083416e-05,14508074800.0,1e-06,3e-06,ss
3e-05,0.4125,1.6,1.01223922,7.51872804e-05,1.58890718e-06,1.65414154e-05,2.96225083e-05,7.42018491e-05,13570839900.0,1e-06,3e-06,ss
5e-06,0.825,1.6,0.569269699,3.19484094e-05,1.78231722e-05,6.11835238e-05,5.17412093e-06,3.26772937e-05,2747191280.0,1e-06,3e-06,ss
