 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  3.63822785e-01  5.55296249e-05  1.07676980e-05  8.89355380e-05  5.87215731e-06  6.16852104e-05  2.48416265e+09  1.00000000e-06  8.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  4.32843020e-01  8.40909991e-05  1.07676980e-05  8.89355380e-05  1.10994288e-05  9.00840283e-05  1.70103512e+09  1.00000000e-06  8.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  4.83574056e-01  1.05931511e-04  1.07676980e-05  8.89355380e-05  1.62154363e-05  1.11636030e-04  1.37264013e+09  1.00000000e-06  8.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  5.25369417e-01  1.23978027e-04  1.07676980e-05  8.89355380e-05  2.12520853e-05  1.29345078e-04  1.18470759e+09  1.00000000e-06  8.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  5.61868406e-01  1.39556802e-04  1.07676980e-05  8.89355380e-05  2.62516270e-05  1.44557085e-04  1.06003863e+09  1.00000000e-06  8.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  5.94717180e-01  1.53312887e-04  1.07676980e-05  8.89355380e-05  3.12206876e-05  1.57925667e-04  9.70305195e+08  1.00000000e-06  8.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  3.63822784e-01  5.55296245e-05  8.28887992e-05  2.51103014e-04  5.87215724e-06  6.16852099e-05  3.22706006e+08  1.00000000e-06  8.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  4.32843020e-01  8.40909991e-05  8.28887992e-05  2.51103014e-04  1.10994288e-05  9.00840283e-05  2.20973552e+08  1.00000000e-06  8.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  4.83574056e-01  1.05931511e-04  8.28887992e-05  2.51103014e-04  1.62154363e-05  1.11636030e-04  1.78313289e+08  1.00000000e-06  8.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  5.25369417e-01  1.23978027e-04  8.28887992e-05  2.51103014e-04  2.12520853e-05  1.29345078e-04  1.53899847e+08  1.00000000e-06  8.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  5.61868406e-01  1.39556802e-04  8.28887992e-05  2.51103014e-04  2.62516270e-05  1.44557085e-04  1.37704684e+08  1.00000000e-06  8.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.65000000e+00  5.94717180e-01  1.53312887e-04  8.28887992e-05  2.51103014e-04  3.12206876e-05  1.57925667e-04  1.26047830e+08  1.00000000e-06  8.00000000e-07 
 5.00000000e-06  1.23750000e+00  1.65000000e+00  3.63822784e-01  5.55296245e-05  2.06261661e-04  3.33539299e-04  5.87215724e-06  6.16852099e-05  1.29683400e+08  1.00000000e-06  8.00000000e-07 
 1.00000000e-05  1.23750000e+00  1.65000000e+00  4.32843020e-01  8.40909991e-05  2.06261661e-04  3.33539299e-04  1.10994288e-05  9.00840283e-05  8.88009549e+07  1.00000000e-06  8.00000000e-07 
 1.50000000e-05  1.23750000e+00  1.65000000e+00  4.83574056e-01  1.05931511e-04  2.06261661e-04  3.33539299e-04  1.62154363e-05  1.11636030e-04  7.16574004e+07  1.00000000e-06  8.00000000e-07 
 2.00000000e-05  1.23750000e+00  1.65000000e+00  5.25369417e-01  1.23978027e-04  2.06261661e-04  3.33539299e-04  2.12520853e-05  1.29345078e-04  6.18465569e+07  1.00000000e-06  8.00000000e-07 
 2.50000000e-05  1.23750000e+00  1.65000000e+00  5.61868406e-01  1.39556802e-04  2.06261661e-04  3.33539299e-04  2.62516270e-05  1.44557085e-04  5.53383303e+07  1.00000000e-06  8.00000000e-07 
 3.00000000e-05  1.23750000e+00  1.65000000e+00  5.94717180e-01  1.53312887e-04  2.06261661e-04  3.33539299e-04  3.12206876e-05  1.57925667e-04  5.06538796e+07  1.00000000e-06  8.00000000e-07 
 5.00000000e-06  1.65000000e+00  1.65000000e+00  3.63822784e-01  5.55296245e-05  3.49091432e-04  3.50316607e-04  5.87215724e-06  6.16852099e-05  7.66238038e+07  1.00000000e-06  8.00000000e-07 
 1.00000000e-05  1.65000000e+00  1.65000000e+00  4.32843020e-01  8.40909991e-05  3.49091432e-04  3.50316607e-04  1.10994288e-05  9.00840283e-05  5.24682956e+07  1.00000000e-06  8.00000000e-07 
 1.50000000e-05  1.65000000e+00  1.65000000e+00  4.83574056e-01  1.05931511e-04  3.49091432e-04  3.50316607e-04  1.62154363e-05  1.11636030e-04  4.23389779e+07  1.00000000e-06  8.00000000e-07 
 2.00000000e-05  1.65000000e+00  1.65000000e+00  5.25369417e-01  1.23978027e-04  3.49091432e-04  3.50316607e-04  2.12520853e-05  1.29345078e-04  3.65422132e+07  1.00000000e-06  8.00000000e-07 
 2.50000000e-05  1.65000000e+00  1.65000000e+00  5.61868406e-01  1.39556802e-04  3.49091432e-04  3.50316607e-04  2.62516270e-05  1.44557085e-04  3.26968091e+07  1.00000000e-06  8.00000000e-07 
 3.00000000e-05  1.65000000e+00  1.65000000e+00  5.94717180e-01  1.53312887e-04  3.49091432e-04  3.50316607e-04  3.12206876e-05  1.57925667e-04  2.99289881e+07  1.00000000e-06  8.00000000e-07 
 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.60000000e+00  3.63822785e-01  5.55296249e-05  1.06969316e-05  8.85789919e-05  5.87215731e-06  6.16852104e-05  2.42482116e+09  1.00000000e-06  8.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.60000000e+00  4.32843020e-01  8.40909991e-05  1.06969316e-05  8.85789919e-05  1.10994288e-05  9.00840283e-05  1.66040092e+09  1.00000000e-06  8.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.60000000e+00  4.83574056e-01  1.05931511e-04  1.06969316e-05  8.85789919e-05  1.62154363e-05  1.11636030e-04  1.33985061e+09  1.00000000e-06  8.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.60000000e+00  5.25369417e-01  1.23978027e-04  1.06969316e-05  8.85789919e-05  2.12520853e-05  1.29345078e-04  1.15640738e+09  1.00000000e-06  8.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.60000000e+00  5.61868406e-01  1.39556802e-04  1.06969316e-05  8.85789919e-05  2.62516270e-05  1.44557085e-04  1.03471651e+09  1.00000000e-06  8.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.60000000e+00  5.94717180e-01  1.53312887e-04  1.06969316e-05  8.85789919e-05  3.12206876e-05  1.57925667e-04  9.47126617e+08  1.00000000e-06  8.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.60000000e+00  3.63822784e-01  5.55296245e-05  8.26353388e-05  2.50574840e-04  5.87215724e-06  6.16852099e-05  3.13886851e+08  1.00000000e-06  8.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.60000000e+00  4.32843020e-01  8.40909991e-05  8.26353388e-05  2.50574840e-04  1.10994288e-05  9.00840283e-05  2.14934619e+08  1.00000000e-06  8.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.60000000e+00  4.83574056e-01  1.05931511e-04  8.26353388e-05  2.50574840e-04  1.62154363e-05  1.11636030e-04  1.73440208e+08  1.00000000e-06  8.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.60000000e+00  5.25369417e-01  1.23978027e-04  8.26353388e-05  2.50574840e-04  2.12520853e-05  1.29345078e-04  1.49693955e+08  1.00000000e-06  8.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.60000000e+00  5.61868406e-01  1.39556802e-04  8.26353388e-05  2.50574840e-04  2.62516270e-05  1.44557085e-04  1.33941386e+08  1.00000000e-06  8.00000000e-07 
 3.00000000e-05  8.25000000e-01  1.60000000e+00  5.94717180e-01  1.53312887e-04  8.26353388e-05  2.50574840e-04  3.12206876e-05  1.57925667e-04  1.22603100e+08  1.00000000e-06  8.00000000e-07 
