 i-sweep         v(VG)           v(VD)           v(Vbias)        gmrp            Ipeak_unit      gmron_unit      Ibias_unit      gmbias_unit     Ron_Gm_unit     width           length         
 5.00000000e-06  4.12500000e-01  1.65000000e+00  4.58118063e-01  5.94974102e-05  4.17869184e-06  5.35260327e-05  5.78785355e-06  6.52702710e-05  6.04962123e+09  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  4.12500000e-01  1.65000000e+00  5.22314507e-01  9.07473400e-05  4.17869184e-06  5.35260327e-05  1.09551527e-05  9.61101603e-05  4.10841492e+09  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  4.12500000e-01  1.65000000e+00  5.69282076e-01  1.14712148e-04  4.17869184e-06  5.35260327e-05  1.60198508e-05  1.19604479e-04  3.30138486e+09  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  4.12500000e-01  1.65000000e+00  6.07881707e-01  1.34498748e-04  4.17869184e-06  5.35260327e-05  2.10095926e-05  1.38897300e-04  2.84282285e+09  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  4.12500000e-01  1.65000000e+00  6.41552301e-01  1.51542047e-04  4.17869184e-06  5.35260327e-05  2.59657958e-05  1.55433122e-04  2.54038786e+09  1.00000000e-06  6.00000000e-07 
 3.00000000e-05  4.12500000e-01  1.65000000e+00  6.71840828e-01  1.66542492e-04  4.17869184e-06  5.35260327e-05  3.08940925e-05  1.69918552e-04  2.32382169e+09  1.00000000e-06  6.00000000e-07 
 5.00000000e-06  8.25000000e-01  1.65000000e+00  4.58118061e-01  5.94974094e-05  6.74777002e-05  2.48071832e-04  5.78785344e-06  6.52702702e-05  3.74634925e+08  1.00000000e-06  6.00000000e-07 
 1.00000000e-05  8.25000000e-01  1.65000000e+00  5.22314507e-01  9.07473400e-05  6.74777002e-05  2.48071832e-04  1.09551527e-05  9.61101603e-05  2.54421829e+08  1.00000000e-06  6.00000000e-07 
 1.50000000e-05  8.25000000e-01  1.65000000e+00  5.69282076e-01  1.14712148e-04  6.74777002e-05  2.48071832e-04  1.60198508e-05  1.19604479e-04  2.04444875e+08  1.00000000e-06  6.00000000e-07 
 2.00000000e-05  8.25000000e-01  1.65000000e+00  6.07881707e-01  1.34498748e-04  6.74777002e-05  2.48071832e-04  2.10095926e-05  1.38897300e-04  1.76047503e+08  1.00000000e-06  6.00000000e-07 
 2.50000000e-05  8.25000000e-01  1.65000000e+00  6.41552301e-01  1.51542047e-04  6.74777002e-05  2.48071832e-04  2.59657958e-05  1.55433122e-04  1.57318610e+08  1.00000000e-06  6.00000000e-07 
