i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
1.5e-05,0.4125,1.6,1.10464947,2.88058893e-05,1.1816208e-06,8.82270603e-06,1.477368e-05,2.77763865e-05,48749044500.0,1.88012644,0.692149469,37.6112357,1e-06,1e-05,ff
2e-05,0.4125,1.6,1.26725715,3.13092503e-05,1.1816208e-06,8.82270603e-06,1.92835167e-05,2.6964381e-05,50217073500.0,1.39831242,0.85475715,36.5117215,1e-06,1e-05,ff
2.5e-05,0.4125,1.6,1.41926671,3.29517235e-05,1.1816208e-06,8.82270603e-06,2.31200751e-05,2.32467097e-05,58247912100.0,1.00547726,1.00676671,31.4777257,1e-06,1e-05,ff
3e-05,0.4125,1.6,1.56489049,3.39970295e-05,1.1816208e-06,8.82270603e-06,2.62200373e-05,1.93300518e-05,70050112500.0,0.737224421,1.15239049,26.1742878,1e-06,1e-05,ff
5e-06,0.825,1.6,0.698379116,1.85171689e-05,7.85848373e-06,2.28484347e-05,5.03900706e-06,1.86339677e-05,10926369600.0,3.69794436,0.126620884,3.79390598,1e-06,1e-05,ff
1e-05,0.825,1.6,0.923459262,2.49613249e-05,7.85848373e-06,2.28484347e-05,9.96817971e-06,2.48194129e-05,8203321290.0,2.48986411,0.0984592617,5.05327261,1e-06,1e-05,ff
1.5e-05,0.825,1.6,1.10464947,2.88058893e-05,7.85848373e-06,2.28484347e-05,1.477368e-05,2.77763865e-05,7330025360.0,1.88012644,0.279649469,5.65531724,1e-06,1e-05,ff
2e-05,0.825,1.6,1.26725715,3.13092503e-05,7.85848373e-06,2.28484347e-05,1.92835167e-05,2.6964381e-05,7550761780.0,1.39831242,0.44225715,5.4899916,1e-06,1e-05,ff
2.5e-05,0.825,1.6,1.41926671,3.29517235e-05,7.85848373e-06,2.28484347e-05,2.31200751e-05,2.32467097e-05,8758298290.0,1.00547726,0.594266712,4.7330677,1e-06,1e-05,ff
3e-05,0.825,1.6,1.56489049,3.39970295e-05,7.85848373e-06,2.28484347e-05,2.62200373e-05,1.93300518e-05,10532906000.0,0.737224421,0.739890489,3.93562982,1e-06,1e-05,ff
5e-06,1.2375,1.6,0.698379116,1.85171689e-05,1.92148931e-05,3.11971875e-05,5.03900706e-06,1.86339677e-05,4468653390.0,3.69794436,0.539120884,1.55162707,1e-06,1e-05,ff
1e-05,1.2375,1.6,0.923459262,2.49613249e-05,1.92148931e-05,3.11971875e-05,9.96817971e-06,2.48194129e-05,3354984400.0,2.48986411,0.314040738,2.06668131,1e-06,1e-05,ff
1.5e-05,1.2375,1.6,1.10464947,2.88058893e-05,1.92148931e-05,3.11971875e-05,1.477368e-05,2.77763865e-05,2997824890.0,1.88012644,0.132850531,2.31290479,1e-06,1e-05,ff
2e-05,1.2375,1.6,1.26725715,3.13092503e-05,1.92148931e-05,3.11971875e-05,1.92835167e-05,2.6964381e-05,3088101410.0,1.39831242,0.0297571505,2.24529012,1e-06,1e-05,ff
2.5e-05,1.2375,1.6,1.41926671,3.29517235e-05,1.92148931e-05,3.11971875e-05,2.31200751e-05,2.32467097e-05,3581958230.0,1.00547726,0.181766712,1.9357243,1e-06,1e-05,ff
3e-05,1.2375,1.6,1.56489049,3.39970295e-05,1.92148931e-05,3.11971875e-05,2.62200373e-05,1.93300518e-05,4307735120.0,0.737224421,0.327390489,1.60958912,1e-06,1e-05,ff
5e-06,1.65,1.6,0.698379116,1.85171689e-05,3.2889662e-05,3.43326905e-05,5.03900705e-06,1.86339677e-05,2610689560.0,3.69794436,0.951620884,0.90649604,1e-06,1e-05,ff
1e-05,1.65,1.6,0.923459262,2.49613249e-05,3.2889662e-05,3.43326905e-05,9.96817971e-06,2.48194129e-05,1960058660.0,2.48986411,0.726540738,1.20740251,1e-06,1e-05,ff
1.5e-05,1.65,1.6,1.10464947,2.88058893e-05,3.2889662e-05,3.43326905e-05,1.477368e-05,2.77763865e-05,1751397900.0,1.88012644,0.545350531,1.35125191,1e-06,1e-05,ff
2e-05,1.65,1.6,1.26725715,3.13092503e-05,3.2889662e-05,3.43326905e-05,1.92835167e-05,2.6964381e-05,1804139510.0,1.39831242,0.38274285,1.31174986,1e-06,1e-05,ff
2.5e-05,1.65,1.6,1.41926671,3.29517235e-05,3.2889662e-05,3.43326905e-05,2.31200751e-05,2.32467097e-05,2092661960.0,1.00547726,0.230733288,1.13089443,1e-06,1e-05,ff
3e-05,1.65,1.6,1.56489049,3.39970295e-05,3.2889662e-05,3.43326905e-05,2.62200373e-05,1.93300518e-05,2516677430.0,0.737224421,0.0851095113,0.940358794,1e-06,1e-05,ff
5e-06,0.4125,1.2375,0.698379097,1.85171683e-05,1.15607317e-06,8.70853704e-06,5.03900671e-06,1.86339671e-05,57445307500.0,3.6979445,0.285879097,19.9464315,1e-06,1e-05,ff
1e-05,0.4125,1.2375,0.923459262,2.49613249e-05,1.15607317e-06,8.70853704e-06,9.96817972e-06,2.48194129e-05,43128899900.0,2.4898641,0.510959262,26.5675427,1e-06,1e-05,ff
1.5e-05,0.4125,1.2375,1.10464947,2.88058893e-05,1.15607317e-06,8.70853704e-06,1.477368e-05,2.77763865e-05,38537553100.0,1.88012644,0.692149469,29.7327878,1e-06,1e-05,ff
2e-05,0.4125,1.2375,1.26725715,3.13092503e-05,1.15607317e-06,8.70853704e-06,1.92835167e-05,2.6964381e-05,39698073200.0,1.39831242,0.85475715,28.8635895,1e-06,1e-05,ff
2.5e-05,0.4125,1.2375,1.41926671,3.29517235e-05,1.15607317e-06,8.70853704e-06,2.31200751e-05,2.32467097e-05,46046687300.0,1.00547726,1.00676671,24.8840678,1e-06,1e-05,ff
3e-05,0.4125,1.2375,1.56489049,3.39970295e-05,1.15607317e-06,8.70853704e-06,2.62200373e-05,1.93300518e-05,55376673700.0,0.737224421,1.15239049,20.6915441,1e-06,1e-05,ff
5e-06,0.825,1.2375,0.698379116,1.85171689e-05,7.77486999e-06,2.26801422e-05,5.03900706e-06,1.86339677e-05,8541747580.0,3.69794436,0.126620884,2.9659062,1e-06,1e-05,ff
1e-05,0.825,1.2375,0.923459262,2.49613249e-05,7.77486999e-06,2.26801422e-05,9.96817971e-06,2.48194129e-05,6412990090.0,2.48986411,0.0984592617,3.95042277,1e-06,1e-05,ff
1.5e-05,0.825,1.2375,1.10464947,2.88058893e-05,7.77486999e-06,2.26801422e-05,1.477368e-05,2.77763865e-05,5730286350.0,1.88012644,0.279649469,4.42107436,1e-06,1e-05,ff
2e-05,0.825,1.2375,1.26725715,3.13092503e-05,7.77486999e-06,2.26801422e-05,1.92835167e-05,2.6964381e-05,5902848220.0,1.39831242,0.44225715,4.29183016,1e-06,1e-05,ff
2.5e-05,0.825,1.2375,1.41926671,3.29517235e-05,7.77486999e-06,2.26801422e-05,2.31200751e-05,2.32467097e-05,6846846320.0,1.00547726,0.594266712,3.70010088,1e-06,1e-05,ff
3e-05,0.825,1.2375,1.56489049,3.39970295e-05,7.77486999e-06,2.26801422e-05,2.62200373e-05,1.93300518e-05,8234155310.0,0.737224421,0.739890489,3.07669957,1e-06,1e-05,ff
5e-06,1.2375,1.2375,0.698379116,1.85171689e-05,1.90440271e-05,3.09125388e-05,5.03900706e-06,1.86339677e-05,3487233910.0,3.69794436,0.539120884,1.21085393,1e-06,1e-05,ff
1e-05,1.2375,1.2375,0.923459262,2.49613249e-05,1.90440271e-05,3.09125388e-05,9.96817971e-06,2.48194129e-05,2618152350.0,2.48986411,0.314040738,1.61279037,1e-06,1e-05,ff
