i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
1.5e-05,0.4125,1.6,0.863169259,4.80595166e-05,1.27275209e-06,1.294677e-05,1.49644204e-05,4.79526306e-05,26215836900.0,3.2044429,0.450669259,60.2821315,1e-06,4e-06,ss
2e-05,0.4125,1.6,0.95864761,5.42773302e-05,1.27275209e-06,1.294677e-05,1.9831099e-05,5.38402463e-05,23349045200.0,2.71494012,0.54614761,67.6835611,1e-06,4e-06,ss
2.5e-05,0.4125,1.6,1.04481514,5.92053476e-05,1.27275209e-06,1.294677e-05,2.46694449e-05,5.8314881e-05,21557419300.0,2.36385056,0.63231514,73.3087066,1e-06,4e-06,ss
3e-05,0.4125,1.6,1.12471602,6.31996513e-05,1.27275209e-06,1.294677e-05,2.9465731e-05,6.15774575e-05,20415236200.0,2.08979908,0.712216023,77.4101513,1e-06,4e-06,ss
5e-06,0.825,1.6,0.608222462,2.80656135e-05,1.37244523e-05,4.66620886e-05,5.1198472e-06,2.85194528e-05,4087744780.0,5.57037187,0.216777538,3.32480479,1e-06,4e-06,ss
1e-05,0.825,1.6,0.751922484,3.98631993e-05,1.37244523e-05,4.66620886e-05,1.00601631e-05,4.00425947e-05,2911405860.0,3.98031267,0.0730775161,4.66817548,1e-06,4e-06,ss
1.5e-05,0.825,1.6,0.863169259,4.80595166e-05,1.37244523e-05,4.66620886e-05,1.49644204e-05,4.79526306e-05,2431154310.0,3.2044429,0.0381692594,5.5903294,1e-06,4e-06,ss
2e-05,0.825,1.6,0.95864761,5.42773302e-05,1.37244523e-05,4.66620886e-05,1.9831099e-05,5.38402463e-05,2165299240.0,2.71494012,0.13364761,6.27670907,1e-06,4e-06,ss
2.5e-05,0.825,1.6,1.04481514,5.92053476e-05,1.37244523e-05,4.66620886e-05,2.46694449e-05,5.8314881e-05,1999150860.0,2.36385056,0.21981514,6.79836309,1e-06,4e-06,ss
3e-05,0.825,1.6,1.12471602,6.31996513e-05,1.37244523e-05,4.66620886e-05,2.9465731e-05,6.15774575e-05,1893229260.0,2.08979908,0.299716023,7.17871506,1e-06,4e-06,ss
5e-06,1.2375,1.6,0.608222462,2.80656135e-05,3.80221485e-05,6.8677505e-05,5.1198472e-06,2.85194528e-05,1475509940.0,5.57037187,0.629277538,1.20011957,1e-06,4e-06,ss
1e-05,1.2375,1.6,0.751922484,3.98631993e-05,3.80221485e-05,6.8677505e-05,1.00601631e-05,4.00425947e-05,1050899340.0,3.98031267,0.485577516,1.68502186,1e-06,4e-06,ss
1.5e-05,1.2375,1.6,0.863169259,4.80595166e-05,3.80221485e-05,6.8677505e-05,1.49644204e-05,4.79526306e-05,877548024.0,3.2044429,0.374330741,2.017882,1e-06,4e-06,ss
2e-05,1.2375,1.6,0.95864761,5.42773302e-05,3.80221485e-05,6.8677505e-05,1.9831099e-05,5.38402463e-05,781585137.0,2.71494012,0.27885239,2.2656372,1e-06,4e-06,ss
2.5e-05,1.2375,1.6,1.04481514,5.92053476e-05,3.80221485e-05,6.8677505e-05,2.46694449e-05,5.8314881e-05,721612313.0,2.36385056,0.19268486,2.45393313,1e-06,4e-06,ss
3e-05,1.2375,1.6,1.12471602,6.31996513e-05,3.80221485e-05,6.8677505e-05,2.9465731e-05,6.15774575e-05,683378917.0,2.08979908,0.112783977,2.59122475,1e-06,4e-06,ss
5e-06,1.65,1.6,0.608222462,2.80656135e-05,6.85823367e-05,7.76734065e-05,5.1198472e-06,2.85194528e-05,818024886.0,5.57037187,1.04177754,0.665348058,1e-06,4e-06,ss
1e-05,1.65,1.6,0.751922484,3.98631993e-05,6.85823367e-05,7.76734065e-05,1.00601631e-05,4.00425947e-05,582620141.0,3.98031267,0.898077516,0.934178603,1e-06,4e-06,ss
1.5e-05,1.65,1.6,0.863169259,4.80595166e-05,6.85823367e-05,7.76734065e-05,1.49644204e-05,4.79526306e-05,486513917.0,3.2044429,0.786830741,1.11871675,1e-06,4e-06,ss
2e-05,1.65,1.6,0.95864761,5.42773302e-05,6.85823367e-05,7.76734065e-05,1.9831099e-05,5.38402463e-05,433311951.0,2.71494012,0.69135239,1.2560726,1e-06,4e-06,ss
2.5e-05,1.65,1.6,1.04481514,5.92053476e-05,6.85823367e-05,7.76734065e-05,2.46694449e-05,5.8314881e-05,400062929.0,2.36385056,0.60518486,1.36046414,1e-06,4e-06,ss
3e-05,1.65,1.6,1.12471602,6.31996513e-05,6.85823367e-05,7.76734065e-05,2.9465731e-05,6.15774575e-05,378866278.0,2.08979908,0.525283977,1.43657882,1e-06,4e-06,ss
5e-06,0.4125,1.2375,0.60822219,2.80655904e-05,1.22228065e-06,1.26376679e-05,5.11983946e-06,2.85194301e-05,35500414900.0,5.57037585,0.19572219,28.8745427,1e-06,4e-06,ss
1e-05,0.4125,1.2375,0.751922484,3.98631993e-05,1.22228065e-06,1.26376679e-05,1.00601631e-05,4.00425947e-05,25284365600.0,3.98031267,0.339422484,40.5411891,1e-06,4e-06,ss
1.5e-05,0.4125,1.2375,0.863169259,4.80595166e-05,1.22228065e-06,1.26376679e-05,1.49644204e-05,4.79526306e-05,21113577900.0,3.2044429,0.450669259,48.5497176,1e-06,4e-06,ss
2e-05,0.4125,1.2375,0.95864761,5.42773302e-05,1.22228065e-06,1.26376679e-05,1.9831099e-05,5.38402463e-05,18804735700.0,2.71494012,0.54614761,54.5106435,1e-06,4e-06,ss
2.5e-05,0.4125,1.2375,1.04481514,5.92053476e-05,1.22228065e-06,1.26376679e-05,2.46694449e-05,5.8314881e-05,17361805100.0,2.36385056,0.63231514,59.0409947,1e-06,4e-06,ss
3e-05,0.4125,1.2375,1.12471602,6.31996513e-05,1.22228065e-06,1.26376679e-05,2.9465731e-05,6.15774575e-05,16441919500.0,2.08979908,0.712216023,62.3441955,1e-06,4e-06,ss
5e-06,0.825,1.2375,0.608222462,2.80656135e-05,1.35116426e-05,4.61826389e-05,5.1198472e-06,2.85194528e-05,3211410840.0,5.57037187,0.216777538,2.61203052,1e-06,4e-06,ss
1e-05,0.825,1.2375,0.751922484,3.98631993e-05,1.35116426e-05,4.61826389e-05,1.00601631e-05,4.00425947e-05,2287256380.0,3.98031267,0.0730775161,3.66740835,1e-06,4e-06,ss
1.5e-05,0.825,1.2375,0.863169259,4.80595166e-05,1.35116426e-05,4.61826389e-05,1.49644204e-05,4.79526306e-05,1909961540.0,3.2044429,0.0381692594,4.39187019,1e-06,4e-06,ss
2e-05,0.825,1.2375,0.95864761,5.42773302e-05,1.35116426e-05,4.61826389e-05,1.9831099e-05,5.38402463e-05,1701100690.0,2.71494012,0.13364761,4.93110325,1e-06,4e-06,ss
2.5e-05,0.825,1.2375,1.04481514,5.92053476e-05,1.35116426e-05,4.61826389e-05,2.46694449e-05,5.8314881e-05,1570571330.0,2.36385056,0.21981514,5.34092467,1e-06,4e-06,ss
3e-05,0.825,1.2375,1.12471602,6.31996513e-05,1.35116426e-05,4.61826389e-05,2.9465731e-05,6.15774575e-05,1487357290.0,2.08979908,0.299716023,5.63973648,1e-06,4e-06,ss
5e-06,1.2375,1.2375,0.608222462,2.80656135e-05,3.75666163e-05,6.79379835e-05,5.1198472e-06,2.85194528e-05,1155053070.0,5.57037187,0.629277538,0.93947303,1e-06,4e-06,ss
1e-05,1.2375,1.2375,0.751922484,3.98631993e-05,3.75666163e-05,6.79379835e-05,1.00601631e-05,4.00425947e-05,822661016.0,3.98031267,0.485577516,1.31906239,1e-06,4e-06,ss
1.5e-05,1.2375,1.2375,0.863169259,4.80595166e-05,3.75666163e-05,6.79379835e-05,1.49644204e-05,4.79526306e-05,686958800.0,3.2044429,0.374330741,1.5796307,1e-06,4e-06,ss
2e-05,1.2375,1.2375,0.95864761,5.42773302e-05,3.75666163e-05,6.79379835e-05,1.9831099e-05,5.38402463e-05,611837499.0,2.71494012,0.27885239,1.77357748,1e-06,4e-06,ss
2.5e-05,1.2375,1.2375,1.04481514,5.92053476e-05,3.75666163e-05,6.79379835e-05,2.46694449e-05,5.8314881e-05,564889802.0,2.36385056,0.19268486,1.92097858,1e-06,4e-06,ss
3e-05,1.2375,1.2375,1.12471602,6.31996513e-05,3.75666163e-05,6.79379835e-05,2.9465731e-05,6.15774575e-05,534960080.0,2.08979908,0.112783977,2.02845268,1e-06,4e-06,ss
5e-06,1.65,1.2375,0.608222462,2.80656135e-05,6.75414884e-05,7.46701324e-05,5.1198472e-06,2.85194528e-05,642441210.0,5.57037187,1.04177754,0.522535462,1e-06,4e-06,ss
1e-05,1.65,1.2375,0.751922484,3.98631993e-05,6.75414884e-05,7.46701324e-05,1.00601631e-05,4.00425947e-05,457564550.0,3.98031267,0.898077516,0.733663294,1e-06,4e-06,ss
1.5e-05,1.65,1.2375,0.863169259,4.80595166e-05,6.75414884e-05,7.46701324e-05,1.49644204e-05,4.79526306e-05,382086896.0,3.2044429,0.786830741,0.87859154,1e-06,4e-06,ss
2e-05,1.65,1.2375,0.95864761,5.42773302e-05,6.75414884e-05,7.46701324e-05,1.9831099e-05,5.38402463e-05,340304383.0,2.71494012,0.69135239,0.986464857,1e-06,4e-06,ss
2.5e-05,1.65,1.2375,1.04481514,5.92053476e-05,6.75414884e-05,7.46701324e-05,2.46694449e-05,5.8314881e-05,314192046.0,2.36385056,0.60518486,1.06844944,1e-06,4e-06,ss
3e-05,1.65,1.2375,1.12471602,6.31996513e-05,6.75414884e-05,7.46701324e-05,2.9465731e-05,6.15774575e-05,297545117.0,2.08979908,0.525283977,1.1282266,1e-06,4e-06,ss
5e-06,0.4125,0.825,0.60822219,2.80655904e-05,1.15141825e-06,1.2187516e-05,5.11983946e-06,2.85194301e-05,25123491700.0,5.57037585,0.19572219,20.4343903,1e-06,4e-06,ss
1e-05,0.4125,0.825,0.751922484,3.98631993e-05,1.15141825e-06,1.2187516e-05,1.00601631e-05,4.00425947e-05,17893637300.0,3.98031267,0.339422484,28.690826,1e-06,4e-06,ss
1.5e-05,0.4125,0.825,0.863169259,4.80595166e-05,1.15141825e-06,1.2187516e-05,1.49644204e-05,4.79526306e-05,14941988700.0,3.2044429,0.450669259,34.3584274,1e-06,4e-06,ss
2e-05,0.4125,0.825,0.95864761,5.42773302e-05,1.15141825e-06,1.2187516e-05,1.9831099e-05,5.38402463e-05,13308031000.0,2.71494012,0.54614761,38.5769491,1e-06,4e-06,ss
2.5e-05,0.4125,0.825,1.04481514,5.92053476e-05,1.15141825e-06,1.2187516e-05,2.46694449e-05,5.8314881e-05,12286875200.0,2.36385056,0.63231514,41.7830592,1e-06,4e-06,ss
