i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.456473413,6.29070701e-05,4.32808273e-06,5.80359055e-05,5.89126959e-06,6.98425786e-05,5458434780.0,11.8552678,0.0439734128,26.6261672,1e-06,5e-07,ss
1e-05,0.4125,1.65,0.516840898,9.66051637e-05,4.32808273e-06,5.80359055e-05,1.10969341e-05,0.000103127925,3696682140.0,9.29337096,0.104340898,39.3155786,1e-06,5e-07,ss
1.5e-05,0.4125,1.65,0.560785875,0.00012259898,4.32808273e-06,5.80359055e-05,1.61874377e-05,0.000128634451,2963678530.0,7.94656034,0.148285875,49.0394608,1e-06,5e-07,ss
2e-05,0.4125,1.65,0.59677869,0.00014414126,4.32808273e-06,5.80359055e-05,2.11960356e-05,0.000149657997,2547349070.0,7.06065985,0.18427869,57.0542918,1e-06,5e-07,ss
2.5e-05,0.4125,1.65,0.628102461,0.000162755707,4.32808273e-06,5.80359055e-05,2.61678445e-05,0.000167734214,2272828840.0,6.40993622,0.215602461,63.9455089,1e-06,5e-07,ss
3e-05,0.4125,1.65,0.656226307,0.000179182535,4.32808273e-06,5.80359055e-05,3.11093879e-05,0.00018361159,2076291370.0,5.90212801,0.243726307,69.9984592,1e-06,5e-07,ss
5e-06,0.825,1.65,0.456473413,6.29070701e-05,7.59492941e-05,0.000283019997,5.89126959e-06,6.98425786e-05,311056970.0,11.8552678,0.368526587,1.51733148,1e-06,5e-07,ss
1e-05,0.825,1.65,0.516840898,9.66051637e-05,7.59492941e-05,0.000283019997,1.10969341e-05,0.000103127925,210660893.0,9.29337096,0.308159102,2.24045633,1e-06,5e-07,ss
1.5e-05,0.825,1.65,0.560785875,0.00012259898,7.59492941e-05,0.000283019997,1.61874377e-05,0.000128634451,168889600.0,7.94656034,0.264214125,2.79458612,1e-06,5e-07,ss
2e-05,0.825,1.65,0.59677869,0.00014414126,7.59492941e-05,0.000283019997,2.11960356e-05,0.000149657997,145164450.0,7.06065985,0.22822131,3.25132311,1e-06,5e-07,ss
