i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.375135131,5.13436355e-05,9.16347538e-06,7.42996847e-05,5.72836487e-06,5.61060491e-05,3209327520.0,9.79442657,0.037364869,10.102606,1e-06,1e-06,ff
1e-05,0.4125,1.65,0.450300578,7.71135276e-05,9.16347538e-06,7.42996847e-05,1.08985535e-05,8.16592308e-05,2205050000.0,7.49266686,0.0378005783,14.7037805,1e-06,1e-06,ff
1.5e-05,0.4125,1.65,0.505894557,9.66598961e-05,9.16347538e-06,7.42996847e-05,1.59734216e-05,0.000100897156,1784616080.0,6.31656503,0.0933945568,18.1678131,1e-06,1e-06,ff
2e-05,0.4125,1.65,0.551900847,0.000112710622,9.16347538e-06,7.42996847e-05,2.09779173e-05,0.000116604302,1544219930.0,5.55843081,0.139400847,20.9960839,1e-06,1e-06,ff
2.5e-05,0.4125,1.65,0.592208327,0.00012648708,9.16347538e-06,7.42996847e-05,2.59495665e-05,0.000130015572,1384931710.0,5.01031767,0.179708327,23.4109532,1e-06,1e-06,ff
3e-05,0.4125,1.65,0.628586685,0.000138587964,9.16347538e-06,7.42996847e-05,3.08937155e-05,0.00014173491,1270418750.0,4.58782339,0.216086685,25.5211688,1e-06,1e-06,ff
5e-06,0.825,1.65,0.37513513,5.13436352e-05,6.86121963e-05,0.000206372427,5.72836482e-06,5.61060488e-05,428620499.0,9.79442661,0.44986487,1.34924963,1e-06,1e-06,ff
1e-05,0.825,1.65,0.450300578,7.71135276e-05,6.86121963e-05,0.000206372427,1.08985535e-05,8.16592308e-05,294494602.0,7.49266686,0.374699422,1.96375773,1e-06,1e-06,ff
1.5e-05,0.825,1.65,0.505894557,9.66598961e-05,6.86121963e-05,0.000206372427,1.59734216e-05,0.000100897156,238343711.0,6.31656503,0.319105443,2.42639526,1e-06,1e-06,ff
2e-05,0.825,1.65,0.551900847,0.000112710622,6.86121963e-05,0.000206372427,2.09779173e-05,0.000116604302,206237697.0,5.55843081,0.273099153,2.80412388,1e-06,1e-06,ff
2.5e-05,0.825,1.65,0.592208327,0.00012648708,6.86121963e-05,0.000206372427,2.59495665e-05,0.000130015572,184964019.0,5.01031767,0.232791673,3.12664081,1e-06,1e-06,ff
3e-05,0.825,1.65,0.628586685,0.000138587964,6.86121963e-05,0.000206372427,3.08937155e-05,0.00014173491,169670285.0,4.58782339,0.196413315,3.40846984,1e-06,1e-06,ff
5e-06,1.2375,1.65,0.37513513,5.13436352e-05,0.000170311939,0.000276006474,5.72836482e-06,5.61060488e-05,172674881.0,9.79442661,0.86236487,0.543561309,1e-06,1e-06,ff
1e-05,1.2375,1.65,0.450300578,7.71135276e-05,0.000170311939,0.000276006474,1.08985535e-05,8.16592308e-05,118640663.0,7.49266686,0.787199422,0.791123226,1e-06,1e-06,ff
1.5e-05,1.2375,1.65,0.505894557,9.66598961e-05,0.000170311939,0.000276006474,1.59734216e-05,0.000100897156,96019607.2,6.31656503,0.731605443,0.977502272,1e-06,1e-06,ff
2e-05,1.2375,1.65,0.551900847,0.000112710622,0.000170311939,0.000276006474,2.09779173e-05,0.000116604302,83085316.3,5.55843081,0.685599153,1.12967475,1e-06,1e-06,ff
2.5e-05,1.2375,1.65,0.592208327,0.00012648708,0.000170311939,0.000276006474,2.59495665e-05,0.000130015572,74514961.4,5.01031767,0.645291673,1.25960455,1e-06,1e-06,ff
3e-05,1.2375,1.65,0.628586685,0.000138587964,0.000170311939,0.000276006474,3.08937155e-05,0.00014173491,68353698.3,4.58782339,0.608913315,1.37314273,1e-06,1e-06,ff
5e-06,1.65,1.65,0.37513513,5.13436352e-05,0.000289093958,0.000292785029,5.72836482e-06,5.61060488e-05,101726767.0,9.79442661,1.27486487,0.320224543,1e-06,1e-06,ff
