i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
5e-06,0.4125,1.65,0.787243893,1.78941243e-05,6.10084639e-07,5.80656094e-06,5.01086832e-06,1.79246358e-05,150884112000.0,3.57715164,0.374743893,48.4779442,1e-06,1e-05,ss
1e-05,0.4125,1.65,1.02076367,2.40939264e-05,6.10084639e-07,5.80656094e-06,9.92855222e-06,2.38477986e-05,113408488000.0,2.40194119,0.608263668,64.4973912,1e-06,1e-05,ss
1.5e-05,0.4125,1.65,1.20908185,2.77722422e-05,6.10084639e-07,5.80656094e-06,1.47128797e-05,2.64747539e-05,102155539000.0,1.79942707,0.796581852,71.6021043,1e-06,1e-05,ss
2e-05,0.4125,1.65,1.37841485,3.01485212e-05,6.10084639e-07,5.80656094e-06,1.91477821e-05,2.52276229e-05,107205612000.0,1.31752194,0.965914854,68.2291852,1e-06,1e-05,ss
2.5e-05,0.4125,1.65,1.53709761,3.16910214e-05,6.10084639e-07,5.80656094e-06,2.28772499e-05,2.1627599e-05,125050532000.0,0.945375825,1.12459761,58.4927665,1e-06,1e-05,ss
3e-05,0.4125,1.65,1.6895711,3.26571841e-05,6.10084639e-07,5.80656094e-06,2.58987481e-05,1.80521935e-05,149817958000.0,0.69702958,1.2770711,48.8229294,1e-06,1e-05,ss
5e-06,0.825,1.65,0.787243859,1.78941233e-05,5.88880558e-06,1.94379839e-05,5.01086772e-06,1.79246348e-05,15631707200.0,3.57715187,0.0377561405,5.02235081,1e-06,1e-05,ss
1e-05,0.825,1.65,1.02076367,2.40939265e-05,5.88880558e-06,1.94379839e-05,9.92855223e-06,2.38477986e-05,11749203700.0,2.40194119,0.195763669,6.68197772,1e-06,1e-05,ss
1.5e-05,0.825,1.65,1.20908185,2.77722422e-05,5.88880558e-06,1.94379839e-05,1.47128797e-05,2.64747539e-05,10583389900.0,1.79942707,0.384081852,7.41803128,1e-06,1e-05,ss
2e-05,0.825,1.65,1.37841485,3.01485212e-05,5.88880558e-06,1.94379839e-05,1.91477821e-05,2.52276229e-05,11106581200.0,1.31752194,0.553414854,7.06859435,1e-06,1e-05,ss
2.5e-05,0.825,1.65,1.53709761,3.16910214e-05,5.88880558e-06,1.94379839e-05,2.28772499e-05,2.1627599e-05,12955328200.0,0.945375825,0.71209761,6.05989413,1e-06,1e-05,ss
3e-05,0.825,1.65,1.6895711,3.26571841e-05,5.88880558e-06,1.94379839e-05,2.58987481e-05,1.80521935e-05,15521251900.0,0.69702958,0.864571096,5.05809181,1e-06,1e-05,ss
5e-06,1.2375,1.65,0.78724386,1.78941233e-05,1.59679684e-05,2.84795488e-05,5.01086772e-06,1.79246348e-05,5764796270.0,3.57715187,0.45025614,1.852186,1e-06,1e-05,ss
1e-05,1.2375,1.65,1.02076367,2.40939265e-05,1.59679684e-05,2.84795488e-05,9.92855223e-06,2.38477986e-05,4332973030.0,2.40194119,0.216736331,2.46423758,1e-06,1e-05,ss
1.5e-05,1.2375,1.65,1.20908185,2.77722422e-05,1.59679684e-05,2.84795488e-05,1.47128797e-05,2.64747539e-05,3903034130.0,1.79942707,0.0284181476,2.73568578,1e-06,1e-05,ss
2e-05,1.2375,1.65,1.37841485,3.01485212e-05,1.59679684e-05,2.84795488e-05,1.91477821e-05,2.52276229e-05,4095981150.0,1.31752194,0.140914853,2.60681741,1e-06,1e-05,ss
2.5e-05,1.2375,1.65,1.53709761,3.16910214e-05,1.59679684e-05,2.84795488e-05,2.28772499e-05,2.1627599e-05,4777778060.0,0.945375825,0.29959761,2.23482021,1e-06,1e-05,ss
3e-05,1.2375,1.65,1.6895711,3.26571841e-05,1.59679684e-05,2.84795488e-05,2.58987481e-05,1.80521935e-05,5724061620.0,0.69702958,0.452071096,1.86536688,1e-06,1e-05,ss
5e-06,1.65,1.65,0.787243859,1.78941233e-05,2.86826658e-05,3.24494456e-05,5.01086772e-06,1.79246348e-05,3209328070.0,3.57715187,0.862756141,1.03113315,1e-06,1e-05,ss
1e-05,1.65,1.65,1.02076367,2.40939265e-05,2.86826658e-05,3.24494456e-05,9.92855223e-06,2.38477986e-05,2412215690.0,2.40194119,0.629236331,1.37186927,1e-06,1e-05,ss
1.5e-05,1.65,1.65,1.20908185,2.77722422e-05,2.86826658e-05,3.24494456e-05,1.47128797e-05,2.64747539e-05,2172863780.0,1.79942707,0.440918148,1.52298759,1e-06,1e-05,ss
2e-05,1.65,1.65,1.37841485,3.01485212e-05,2.86826658e-05,3.24494456e-05,1.91477821e-05,2.52276229e-05,2280279590.0,1.31752194,0.271585146,1.45124509,1e-06,1e-05,ss
2.5e-05,1.65,1.65,1.53709761,3.16910214e-05,2.86826658e-05,3.24494456e-05,2.28772499e-05,2.1627599e-05,2659843740.0,0.945375825,0.11290239,1.24414999,1e-06,1e-05,ss
